CASE_NO,DECISION_DATE,NPC_SUBMITTED_DATE,CASE_STATUS,VISA_CLASS,ALIEN_WORK_STATE,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,DOT_OCCUPATIONAL_CODE,DOT_NAME,SOC_CODE,SOC_NAME,JOB_TITLE,NBR_WORKERS_REQUESTED,NBR_WORKERS_CERTIFIED,PREVAILING_WAGE,PW_UNIT_OF_PAY,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY
C-11263-55568,10/12/11,9/20/11,PARTIAL CERTIFIED,H-2B,LA,10/1/11,6/1/12,SANTOS RODRIGUEZ,103 NICOLE ST.,,HOUMA,LA,70364,MALVERN C. BURNETT,NEW ORLEANS,LA,449.667-010,"Deckhand, Fishing Vessel",453011,Fishers and Related Fishing Workers,"DECKHAND, FISHING VESSEL",15,14,8.38,HR,8.38,HR
C-11264-55572,10/12/11,9/21/11,CERTIFIED,H-2B,FL,10/15/11,5/31/12,THE COUNTRY CLUB AT MIRASOL,11600 MIRASOL WAY,,PALM BEACH GARDENS,FL,33418,MATTHEW S. DUNN,NEW YORK,NY,350.677-030,Waiter/Waitress,353031,Waiters and Waitresses,WAITER/WAITRESS,21,21,10,HR,10,HR
C-11264-55573,10/12/11,9/21/11,CERTIFIED,H-2B,FL,10/15/11,5/31/12,"THE COUNTRY CLUB AT MIRASOL DBA MIRASOL CLUB, INC.",11600 MIRASOL WAY,,PALM BEACH GARDENS,FL,33418,MATTHEW S. DUNN,NEW YORK,NY,313.361-014,Cook,352014,"Cooks, Restaurant",COOK,6,6,12,HR,12,HR
C-11265-55584,10/12/11,9/22/11,CERTIFIED,H-2B,CO,11/21/11,4/15/12,"TSG SKI AND GOLF, LLC DBA TELLURIDE SKI AND GOLF",565 MOUNTIAN VILLAGE BLVD.,,TELLURIDE,CO,81435,,,,099.224-010,"Instructor, Physical Education",399031,Fitness Trainers and Aerobics Instructors,"INSTRUCTOR, PHYSICAL EDUCATION",11,11,17.79,HR,17.79,HR
C-11266-55587,10/12/11,9/23/11,CERTIFIED,H-2B,WY,10/1/11,5/31/12,CLOUD PEAK HOSPITALITY DBA HOLIDAY INN SHERIDAN,1809 SUGARLAND DR.,,SHERIDAN,WY,82801,ALAN HOWARD PLUMMER,THAYNE,WY,382.664-010,Janitor,372011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",JANITOR,4,4,9,HR,9,HR
C-11266-55588,10/12/11,9/23/11,CERTIFIED,H-2B,WY,10/1/11,5/31/12,CLOUD PEAK HOSPITALITY DBA HOLIDAY INN SHERIDAN,1809 SUGARLAND DR,,SHERIDAN,WY,82801,ALAN HOWARD PLUMMER,THAYNE,WY,323.687-014,"Cleaner, Housekeeping",372012,Maids and Housekeeping Cleaners,"CLEANER, HOUSEKEEPING",15,15,8.5,HR,8.5,HR
C-11266-55589,10/12/11,9/23/11,CERTIFIED,H-2B,WY,10/1/11,5/31/12,TOWER WEST HOLDINGS DBA BEST WESTERN,109 N. US HWY. 14-16,,GILLETTE,WY,82718,ALAN HOWARD PLUMMER,THAYNE,WY,311.677-018,Dining Room Attendant,359011,Dining Room and Cafeteria Attendants and Bartender Helpers,DINING ROOM ATTENDANT,10,10,7.5,HR,7.5,HR
C-11266-55590,10/12/11,9/23/11,CERTIFIED,H-2B,WY,10/1/11,5/31/12,TOWER WEST HOLDINGS DBA BEST WESTERN,109 N. US HWY. 14-16,,GILLETTE,WY,82718,ALAN HOWARD PLUMMER,THAYNE,WY,323.687-014,"Cleaner, Housekeeping",372012,Maids and Housekeeping Cleaners,"CLEANER, HOUSEKEEPING",30,30,8.5,HR,8.5,HR
C-11272-55603,10/12/11,9/29/11,CERTIFIED,H-2B,LA,10/3/11,3/31/12,"ARNOLDO VALENCIA, JR., FARM LABOR CONTRACTOR DBA V",2500 MONKEY LANE,P.O. BOX 3,SILSBEE,TX,77656,"DANIEL W. BREMER / AGWORKS, INC.",LAKE PARK,GA,452.687-010,Forest Worker,454011,Forest and Conservation Workers,FOREST WORKER,42,42,9.9,HR,9.9,HR
C-11277-55606,10/12/11,10/4/11,CERTIFIED,H-2B,ME,10/24/11,12/10/11,TIMBERLAND FORESTRY SERVICE DBA MITCHELL PRESSON,8001 HARPER ROAD,,HIXSON,TN,37343,,,,452.687-010,Forest Worker,454011,Forest and Conservation Workers,FOREST WORKER,56,56,9.57,HR,9.57,HR
C-11278-55610,10/12/11,10/5/11,CERTIFIED,H-2B,AZ,10/12/11,5/20/12,JONRAY RANCH LLC,444 W DENHAM ROAD,,DOUGLAS,AZ,85607,HENRIKA LONYA HENRICHS,PHOENIX,AZ,410.674-010,Animal Caretaker,392021,Nonfarm Animal Caretakers,ANIMAL CARETAKER,4,4,8.34,HR,8.34,HR
C-11286-55623,10/13/11,9/28/11,CERTIFIED,H-2B,AZ,10/12/11,5/20/12,MIKE CHAMBERS RACING STABLES INC.,705 EAST TOPONCE CANYON ROAD,,BANCROFT,ID,83217,HENRIKA LONYA HINRICHS,PHOENIX,AZ,410.674-010,Animal Caretaker,392021,Nonfarm Animal Caretakers,ANIMAL CARETAKER,20,20,8.34,HR,8.34,HR
C-11241-55493,10/14/11,8/29/11,DENIED,H-2B,DE,7/1/11,12/1/11,"BROOKS AND PALMER CUSTOM HOMES, LLC",24214 ZOAR ROAD,,GEORGETOWN,DE,19947,AZIZ SAFAR,NEW CITY,NY,323.687-014,"Cleaner, Housekeeping",372012,Maids and Housekeeping Cleaners,"CLEANER, HOUSEKEEPING",1,0,13.84,HR,13.84,HR
C-11252-55534,10/14/11,9/9/11,DENIED,H-2B,TN,10/15/11,8/15/12,NUEVO VALLARTA MEXICAN RESTURANT,10240 HWY 57,,COUNCE,TN,38326,,,,305.281-010,Cook,352013,"Cooks, Private Household",COOK,2,0,8.75,HR,8.75,HR
C-11255-55536,10/14/11,9/12/11,DENIED,H-2B,SC,11/12/11,3/31/12,"MARSHFIELD FOREST SERVICE, INC.",31 MAYS WAY,,EDGEFIELD,SC,29824,GINNY MUILENBURG,COEUR D'ALENE,ID,452.687-010,Forest Worker,454011,Forest and Conservation Workers,FOREST WORKER,41,0,9.98,HR,9.98,HR
C-11258-55548,10/14/11,9/15/11,DENIED,H-2B,VT,11/20/11,4/30/12,C.L. HOSPITALITY CORP. DBA THE CASCADES LODGE,58 OLD MILL ROAD,,KILLINGTON,VT,05751,MICHAEL DAVID HEFNER,PITTSFIELD,VT,305.281-010,Cook,352013,"Cooks, Private Household",COOK,2,0,9.17,HR,9.17,HR
C-11263-55562,10/14/11,9/20/11,DENIED,H-2B,CO,11/19/11,4/15/12,"TEAM TEMP STAFFING, INC.","330 FIEDLER AVE., SUITE 103",,DILLON,CO,80435,,,,321.137-010,Housekeeper,371011,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers,HOUSEKEEPER,10,0,8.82,HR,8.82,HR
C-11263-55564,10/14/11,9/20/11,DENIED,H-2B,CO,11/19/11,4/15/12,"TEAM TEMP STAFFING, INC.","330 FIEDLER AVE., SUITE 103",P.O. BOX 1927,DILLON,CO,80435,,,,382.664-010,Janitor,372011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",JANITOR,5,0,9.3,HR,9.3,HR
C-11252-55530,10/17/11,9/9/11,CERTIFIED,H-2B,NY,9/1/11,7/1/12,"NEW YORK PREMIER SOCCER, LLC",14 FRANKLIN ST.,,AKRON,NY,14001,GREGORY J. VARTANIAN,BOSTON,MA,153.117-010,Head Coach,272022,Coaches and Scouts,HEAD COACH,30,30,14.2,HR,14.2,HR
C-11238-55478,10/18/11,8/26/11,DENIED,H-2B,TX,9/10/11,6/9/12,"CD TRANSPORT, LLC",820 N. ROSAMOND,,ODESSA,TX,79763,H. RICHARD SINDELAR III,HOUSTON,TX,904.383-010,Tractor-Trailer-Truck Driver,533032,"Truck Drivers, Heavy and Tractor-Trailer",TRACTOR TRAILER TRUCK DRIVER,8,0,17.97,HR,17.97,HR
C-11238-55480,10/18/11,8/26/11,DENIED,H-2B,TX,9/10/11,6/9/12,"CD TRANSPORT, LLC",820 N. ROSAMOND,,ODESSA,TX,79763,H. RICHARD SINDELAR III,HOUSTON,TX,620.281-050,"Mechanic, Industrial Truck",493031,Bus and Truck Mechanics and Diesel Engine Specialists,"MECHANIC, INDUSTRIAL TRUCK",2,0,14.02,HR,14.02,HR
C-11264-55575,10/18/11,9/21/11,DENIED,H-2B,CA,11/7/11,4/30/12,"MAMMOTH MOUNTAIN SKI AREA, LLC",1 MINARET ROAD,P.O. BOX 24,MAMMOTH LAKES,CA,93546,,,,153.227-018,"Instructor, Sports",399031,Fitness Trainers and Aerobics Instructors,"INSTRUCTOR, SPORTS",3,0,,,,
C-11264-55576,10/18/11,9/21/11,DENIED,H-2B,CA,12/11/11,4/30/12,"MAMMOTH MOUNTAIN SKI AREA, LLC",P.O. BOX 24/MINARET 1 ROAD,,MAMMOTH LAKES,CA,93546,,,,349.664-010,Amusement Park Worker,393091,Amusement and Recreation Attendants,AMUSEMENT PARK WORKER,14,0,9.76,HR,9.76,HR
C-11264-55577,10/18/11,9/21/11,DENIED,H-2B,CA,12/11/11,4/30/12,"MAMMOTH MOUNTAIN SKI AREA, LLC",1 MINARET ROAD,P.O. BOX 24,MAMMOTH LAKES,CA,93546,,,,153.227-018,"Instructor, Sports",399031,Fitness Trainers and Aerobics Instructors,"INSTRUCTOR, SPORTS",30,0,21.3,HR,21.3,HR
C-11264-55578,10/18/11,9/21/11,DENIED,H-2B,CA,11/7/11,5/13/12,"MAMMOTH MOUNTAIN SKI AREA, LLC",P.O. BOX 24/MINARET 1 ROAD,,MAMMOTH LAKES,CA,93546,,,,153.224-010,Athletic Trainer,299091,Athletic Trainers,ATHLETIC TRAINER,8,0,21.3,HR,21.3,HR
C-11264-55579,10/18/11,9/21/11,DENIED,H-2B,CA,11/7/11,4/30/12,"MAMMOTH MOUNTAIN SKI AREA, LLC",MINARET 1 ROAD,P.O. BOX 24,MAMMOTH LAKES,CA,93546,,,,341.367-010,Recreation-Facility Attendant,393091,Amusement and Recreation Attendants,RECREATION FACILITY ATTENDANT,6,0,10.41,HR,10.41,HR
C-11249-55525,10/19/11,9/6/11,CERTIFIED,H-2B,LA,10/1/11,6/1/12,JESUS ZARRAGA,111 JANE AVENUE,,HOUMA,LA,70363,MALVERN C. BURNETT,NEW ORLEANS,LA,449.687-010,Oyster Floater,453011,Fishers and Related Fishing Workers,OYSTER FLOATER,20,20,8.38,HR,8.38,HR
C-11255-55538,10/19/11,9/12/11,CERTIFIED,H-2B,LA,11/1/11,7/1/12,CRAWFISH MAGIC INC. DBA LOUISIANA CRAWFISH TIME,1312 VEROT SCHOOL ROAD,,LAFAYETTE,LA,70508,LINDA D. WHITE,LIVINGSTON,LA,442.684-010,"Fisher, Line",453011,Fishers and Related Fishing Workers,"FISHER, LINE",4,4,7.9,HR,7.9,HR
C-11252-55532,10/20/11,9/9/11,DENIED,H-2B,DC,9/9/11,4/9/12,STADIUM GROUP LLC DBA STADIUM CLUB DC,"2127 QUEENS CHAPEL ROAD, N.E.",,WASHINGTON,DC,20017,PAUL SAUL HAAR/ LAW OFFICES OF PAUL S. HAAR,WASHINGTON,DC,151.047-010,Dancer,272031,Dancers,DANCER,12,0,7.69,HR,7.69,HR
C-11249-55524,10/24/11,9/6/11,DENIED,H-2B,MT,12/10/11,12/10/14,MANTANA,64 WISCONSIN CREEK ROAD,,SHERIDAN,MT,59749,,,,142.061-018,Fashion Designer,271022,Fashion Designers,FASHION DESIGNER,1,0,400,WK,400,WK
C-11257-55544,10/24/11,9/14/11,DENIED,H-2B,VA,10/17/11,4/17/13,DENNY P. KO,4933 SAMMY JOE DRIVE,,FARIFAX,VA,22030,GLENDIA DELAINE RICE-MONDESIR,WASHINGTON,DC,099.224-014,"Teacher, Adventure Education",253021,Self-Enrichment Education Teachers,"TEACHER, ADVENTURE EDUCATION",1,0,26.11,HR,26.11,HR
C-11262-55558,10/24/11,9/19/11,DENIED,H-2B,KY,10/1/11,7/31/12,WALTZ TRAINING STABLES,4782 SHADOWOOD CT.,,CINCINNATI,OH,45244,LAURA ELIZABETH CONLEY MORGAN,LEXINGTON,KY,153.674-010,"Exerciser, Horse",392021,Nonfarm Animal Caretakers,"EXERCISER, HORSE",5,0,7.98,HR,7.98,HR
C-11263-55565,10/24/11,9/20/11,DENIED,H-2B,AZ,11/1/11,11/1/12,SAGUARO ACRES ASSISTED LIVING HOME DBA SAGUARO ACR,18002 S. PLACITA OCTUBRE,,GREEN VALLEY,AZ,85614,,,,354.377-014,Home Attendant,311011,Home Health Aides,HOME ATTENDANT,4,0,6.5,HR,6.5,HR
C-11263-55569,10/24/11,9/20/11,DENIED,H-2B,CO,8/1/11,7/31/12,"WILLIAMS, LLC DBA ROCKY MOUNTAIN CHOCOLATE FACTORY",6999 S. ODESSA ST.,,CENTENNIAL,CO,80016,,,,529.361-014,Candy Maker,513092,Food Batchmakers,CANDY MAKER,1,0,8,HR,8,HR
C-11266-55591,10/24/11,9/23/11,DENIED,H-2B,FL,11/1/11,8/31/12,"PERU 2 U, LLC",130 E. BALTIMORE AVE,,LANSDOWNE,PA,19050,,,,700.381-054,Stone Setter,519071,Jewelers and Precious Stone and Metal Workers,STONE SETTER,1,0,25.13,HR,25.13,HR
C-11290-55634,10/24/11,10/17/11,CERTIFIED,H-2B,MS,10/1/11,6/30/12,"SOUTHERN MISSISSIPPI PINESTRAW, LLC",PO BOX 331,5181 US HIGHWAY 11,PURVIS,MS,39455,FLORENCE COKE HARDIGREE,MENDENHALL,MS,452.687-010,Forest Worker,454011,Forest and Conservation Workers,FOREST WORKER,38,38,10.9,HR,10.9,HR
C-11291-55639,10/24/11,10/18/11,CERTIFIED,H-2B,LA,10/1/11,1/31/12,"LAFOURCHE SUGARS, LLC",141 LEIGHTON QUARTERS ROAD,,THIBODAUX,LA,70301,BRENDA J. DEARMAS RICCI,NEW ORLEANS,LA,022.061-010,Chemist,192031,Chemists,CHEMIST,1,1,21.93,HR,21.93,HR
C-11207-55305,10/26/11,7/26/11,DENIED,H-2B,VA,10/1/11,5/31/12,"SUNSET POOL, INC.",6066 LEESBURG PIKE,,FALLS CHURCH,VA,22041,YONG MEN,ATLANTA,GA,379.667-014,Lifeguard,339092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",LIFEGUARD,200,0,,,,
C-11236-55458,10/26/11,8/24/11,CERTIFIED,H-2B,LA,10/15/11,5/31/12,"DAYBROOK FISHERIES, INC.",136 DAYBROOK LANE,PO BOX 128,EMPIRE,LA,70050,JEREMY S. ZOLLINGER,NEW ORLEANS,LA,819.361-010,Welder-Fitter,514121,"Welders, Cutters, Solderers and Brazers",WELDER FITTER,40,40,19.66,HR,19.66,HR
C-11238-55481,10/26/11,8/26/11,DENIED,H-2B,CO,10/1/11,5/31/12,"WESTWARD ENTERPRISES, LLC DBA COLORADO HORSE PARK",7522 S. PINERY DRIVE,,PARKER,CO,80134,,,,408.687-014,"Laborer, Landscape",373011,Landscaping and Groundskeeping Workers,"LABORER, LANDSCAPE",12,0,14.32,HR,14.32,HR
C-11250-55527,10/26/11,9/7/11,DENIED,H-2B,NC,9/1/11,11/30/11,KENNAN'S AUTO REPAIR INC,312 CIRCLE LANE,,RALEIGH,NC,27603,,,,620.281-018,Automotive-Maintenance-Equipment Servicer,499041,Industrial Machinery Mechanics,AUTOMOTIVE MAINTENANCE EQUIPMENT SERVICER,1,0,9.5,HR,9.5,HR
C-11252-55535,10/26/11,9/9/11,DENIED,H-2B,CO,10/1/11,5/11/12,"SUREFOOT, L.C.",1500 KEARNS BOULEVARD,SUITE A-100,PARK CITY,UT,84060,AMY JILL NOVAK/NOVAK LAW OFFICE,VAIL,CO,822.131-018,Line Supervisor,491011,"First-Line Supervisors/Managers of Mechanics, Installers, and Repairers",LINE SUPERVISOR,1,0,23.78,HR,23.78,HR
C-11256-55542,10/26/11,9/13/11,DENIED,H-2B,GA,8/15/11,6/12/12,ICLAMS CORPORATION,1922 AMBROISA COURT,,DACULA,GA,30019,,,,860.381-022,Carpenter,472031,Carpenters,CARPENTER,15,0,,HR,21.44,HR
C-11257-55543,10/26/11,9/14/11,DENIED,H-2B,MI,11/1/11,4/30/12,"SKI BRULE, INC.",397 BRULE MOUNTAIN ROAD,,IRON RIVER,MI,49935,,,,323.687-014,"Cleaner, Housekeeping",372012,Maids and Housekeeping Cleaners,"CLEANER, HOUSEKEEPING",16,0,8.25,HR,8.25,HR
C-11264-55571,10/26/11,9/21/11,DENIED,H-2B,UT,12/1/11,4/20/12,ASC UTAH DBA THE CANYONS,4000 CANYONS RESORT DRIVE,,PARK CITY,UT,84098,,,,341.665-010,Ski-Tow Operator,393091,Amusement and Recreation Attendants,SKI TOW OPERATOR,65,0,7.69,HR,9,HR
C-11266-55586,10/26/11,9/23/11,CERTIFIED,H-2B,NJ,10/10/11,4/7/12,SOCCER CENTERS LLC,300 MEMORIAL DRIVE,,SOMERSET,NJ,08873,,,,153.227-018,"Instructor, Sports",399031,Fitness Trainers and Aerobics Instructors,"INSTRUCTOR, SPORTS",4,4,13.5,HR,13.5,HR
C-11287-55628,10/26/11,10/14/11,DENIED,H-2B,OK,2/1/12,12/1/12,VANTRIEST LANDSCAPE LLC,3013 WEST DETROIT,,BROKEN ARROW,OK,74012,KATHRYN JUNE HAWS,MONKEY ISLAND,OK,408.687-014,"Laborer, Landscape",373011,Landscaping and Groundskeeping Workers,"LABORER, LANDSCAPE",4,0,10.93,HR,10.93,HR
C-11287-55629,10/26/11,10/14/11,DENIED,H-2B,OK,2/1/12,12/1/12,"K.L. BLANKENSHIP, INC.",11947 SOUTH CANTON AVENUE,,TULSA,OK,74137,KATHRYN JUNE HAWS,MONKEY ISLAND,OK,408.687-014,"Laborer, Landscape",373011,Landscaping and Groundskeeping Workers,"LABORER, LANDSCAPE",8,0,10.93,HR,10.93,HR
C-11287-55633,10/26/11,10/14/11,DENIED,H-2B,OK,2/1/12,12/1/12,THE EXTERIOR DECORATOR,209 EAST CHARLOTTE,,BROKEN ARROW,OK,74011,KATHRYN JUNE HAWS,MONKEY ISLAND,OK,408.687-014,"Laborer, Landscape",373011,Landscaping and Groundskeeping Workers,"LABORER, LANDSCAPE",6,0,,,,
C-11292-55641,10/26/11,10/19/11,CERTIFIED,H-2B,AK,1/10/12,4/30/12,TRIDENT SEAFOODS CORPORATION,5303 SHILSHOLE AVENUE NW,,SEATTLE,WA,98107,JACQUELINE ANNE WOOD,BAINBRIDGE ISLAND,WA,529.361-014,Candy Maker,513092,Food Batchmakers,CANDY MAKER,4,4,19.6,HR,19.6,HR
C-11292-55642,10/26/11,10/19/11,CERTIFIED,H-2B,AK,1/10/12,6/1/12,TRIDENT SEAFOODS CORPORATION,5303 SHILSHOLE AVENUE NW,,SEATTLE,WA,98107,JACQUELINE ANNE WOOD,BAINBRIDGE ISLAND,WA,521.685-302,Slicing-Machine Operator,519032,"Cutting and Slicing Machine Setters, Operators, and Tenders",SLICING MACHINE OPERATOR,7,7,22.25,HR,22.25,HR
C-11292-55643,10/26/11,10/19/11,CERTIFIED,H-2B,AK,1/10/12,4/30/12,"ARCTIC STORM, INC.","2727 ALASKAN WAY, PIER 69",,SEATTLE,WA,98121,JACQUELINE ANNE WOOD,BAINBRIDGE ISLAND,WA,520.687-034,Food Mixer,519199,"Production Workers, All Other",FOOD MIXER,2,2,22,HR,22,HR
C-11292-55646,10/26/11,10/19/11,PARTIAL CERTIFIED,H-2B,SD,11/1/11,5/30/12,"FROHLING MEATS, INC.",225 MAIN STREET,,HECLA,SD,57446,"KEVIN MICHAEL OPP/ EMPLOYMENT USA, LLC",ABERDEEN,SD,525.684-054,"Trimmer, Meat",513022,"Meat, Poultry, and Fish Cutters and Trimmers","TRIMMER, MEAT",8,7,8.44,HR,8.44,HR
C-11262-55559,10/27/11,9/19/11,CERTIFIED,H-2B,AL,10/3/11,6/1/12,"PRITCHETT FORESTRY SERVICES, INC.",198 OLD HIGHWAY 10,,SWEET WATER,AL,36782,DANIEL W. BREMER,LAKE PARK,GA,452.687-010,Forest Worker,454011,Forest and Conservation Workers,FOREST WORKER,112,112,10.4,HR,10.4,HR
C-11265-55580,10/27/11,9/22/11,DENIED,H-2B,UT,11/15/11,4/15/12,STEIN ERIKSEN LODGE,7700 STEIN WAY,PO BOX 3177,PARK CITY,UT,84060,,,,350.677-030,Waiter/Waitress,353031,Waiters and Waitresses,WAITER/WAITRESS,11,0,11,HR,11,HR
C-11265-55582,10/27/11,9/22/11,DENIED,H-2B,UT,11/15/11,4/15/12,STEIN ERIKSEN LODGE,7700 STEIN WAY,PO BOX 3177,PARK CITY,UT,84060,,,,323.687-014,"Cleaner, Housekeeping",372012,Maids and Housekeeping Cleaners,"CLEANER, HOUSEKEEPING",15,0,9.36,HR,9.36,HR
C-11265-55583,10/27/11,9/22/11,DENIED,H-2B,UT,11/15/11,4/15/12,STEIN ERIKSEN LODGE,7700 STEIN WAY,PO BOX 3177,PARK CITY,UT,84060,,,,313.361-014,Cook,352014,"Cooks, Restaurant",COOK,4,0,10.98,HR,10.98,HR
C-11265-55585,10/27/11,9/22/11,DENIED,H-2B,UT,11/15/11,4/15/12,STEIN ERIKSEN LODGE,7700 STEIN WAY,PO BOX 3177,PARK CITY,UT,84060,,,,238.362-010,"Travel Counselor, Automobile Club",434181,Reservation and Transportation Ticket Agents and Travel Clerks,HOTEL CLERK,8,0,11,HR,11,HR
