CASE_NO,DECISION_DATE,NPC_SUBMITTED_DATE,CASE_STATUS,ALIEN_WORK_STATE,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_ADDRESS,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,NBR_WORKERS_CERTIFIED,PREVAILING_WAGE,PW_UNIT_OF_PAY,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY
C-07267-28045,10/1/07,9/24/07,CERTIFIED,LA,11/6/07,9/5/08,"BURKOLEY, LLC",619 WEYER STREET,,GRETNA,LA,70053,"VIRGINIA PICKERING, CPC","ACCENT PERSONNEL SERVICES, INC",BATON ROUGE,LA,JANITOR,35,6.1,HR,6.5,HR
C-07271-28143,10/1/07,9/28/07,CERTIFIED,AZ,11/1/07,8/30/08,SOUTH WEST FOREST PRODUCTS,2828 S.35TH AVE,,PHOENIX,AZ,85009,JONATHAN TAYLOR,LABORMEX,MIAMI,FL,"LABORER, GENERAL",85,6.97,HR,6.97,HR
C-07267-28042,10/1/07,9/24/07,CERTIFIED,AZ,11/1/07,7/15/08,"HERDER DEVELOPMENT, LLC",3707 E SOUTHERN AVE.,,MESA,AZ,85206,JESUS RAUL LEON,SUAME CORP,PHOENIX,AZ,"LABORER, LANDSCAPE",30,7.32,HR,9,HR
C-07268-28073,10/1/07,9/24/07,PARTIAL CERTIFIED,CA,9/15/07,6/30/08,SYLVER TREES,18852 VAN ARSDALE RD/,P.O.BOX 310,POTTER VALLEY,CA,95469,JANAIRA P. JOHNSON,LABOR CONSULTANTS INTERNATIONAL,POST FALLS,ID,FOREST WORKER,50,8.58,HR,8.6,HR
C-07269-28092,10/1/07,9/26/07,CERTIFIED,TX,10/1/07,7/31/08,LA MEXICANA TEQUERIA INC DBA TAQUERIA LA MEXICANA,5616 N. 23RD ST.,,MCALLEN,TX,78501,BELINDA RODRIGUEZ,PRO SERVICES,SAN ANTONIO,TX,"FOOD ASSEMBLER, KITCHEN",50,6.09,HR,6.21,HR
C-07271-28126,10/1/07,9/28/07,CERTIFIED,CA,11/15/07,11/14/08,DAVID & AMY ZEBRACK,27098 PUMPKIN STREET,,MURRIETA,CA,92562,JOHN DAVID MANSFIELD,LAW OFFICES OF JOHN D. MANSFIELD,TEMECULA,CA,"CHILD CARE ATTENDANT, SCHOOL",1,10.08,HR,10.08,HR
A-07261-27901,10/2/07,9/17/07,CERTIFIED,NH,10/29/07,12/20/07,"SHERWOOD FOREST,  INC.  DBA CAMP ROBIN HOOD",3330  SOMERSET DRIVE,,SHAKER HEIGHTS,OH,44122,MARY DISERIO,IMMIGRATION SOLUTIONS & SYSTEMS,NEW YORK,NY,"MAINTENANCE REPAIRER, INDUSTRIAL",1,13.02,HR,15.71,HR
C-07240-27470,10/2/07,8/27/07,PARTIAL CERTIFIED,WA,10/1/07,11/30/07,HIAWATHA CORPORATION,681 E. JOHNS PRAIRIE ROAD,,SHELTON,WA,98584,"WASHINGTON FARM LABOR SOURCE, LLC",803 S. BROADWAY,OTHELLO,WA,WREATH AND GARLAND MAKER,55,8.79,HR,8.88,HR
A-07256-27826,10/2/07,9/13/07,CERTIFIED,FL,10/20/07,8/15/08,RESORT STAFFING AGENCY  INC.,400 S. ATLANTIC AVENUE,SUITE 105,ORMOND BEACH,FL,32176,,,,,"CLEANER, HOUSEKEEPING",40,6.94,HR,7.5,HR
A-07271-28136,10/2/07,9/28/07,DENIED,MS,11/1/07,9/1/08,J & M MARINE & INDUSTRIAL LLC,9136 HEATHER LANE,,MOSS POINT,MS,39562,LAW OFFICES OF MALVERN C. BURNETT,MALVERN C. BURNETT,NEW ORLEANS,LA,FITTER I,0,12.85,HR,13.01,HR
C-07274-28146,10/2/07,10/1/07,CERTIFIED,NY,12/21/07,11/7/08,S & T MAGIC ENTERPRISES INC.,2509 LAKESHORE DRIVE,,ORLANDO,FL,32803,MALCOM SEHEULT,15210 WATERLINE ROAD,BRADENTON,FL,RIDE OPERATOR,30,6.93,HR,7.5,HR
A-07270-28121,10/2/07,9/27/07,CERTIFIED,NY,10/29/07,9/30/08,OLD VINE NY CORP. D/B/A MAB FINER WINES & SPIRITS,385 MERRICK AVE.,,EAST MEADOW,NY,11554,EUNHYANG CHO / ATTORNEY AT LAW,CHO AND ASSOCIATES,NEW YORK,NY,DEMONSTRATOR,3,8.84,HR,9,HR
C-07263-27975,10/2/07,9/19/07,CERTIFIED,LA,11/1/07,8/31/08,"PAX, INC",39386 BABIN RD,,GONZALES,LA,70737,DENNY L. LYNES OR LORI L. WHITTEN,ACTION VISA ASSISTANCE,WYLIE,TX,FITTER,85,11.84,HR,11.84,HR
C-07264-28001,10/2/07,9/20/07,PARTIAL CERTIFIED,LA,1/1/08,6/30/08,"CRESCENT CITY CRAB, INC",38327 SALT BAYOU RD,,SLIDELL,LA,70461,"INTERNATIONAL LABOR MANAGEMENT CORP, SARAH E. FARR",230 CAMERON AVE,VASS,NC,CRAB MEAT PROCESSOR,80,7.1,HR,7.1,HR
C-07268-28079,10/2/07,9/24/07,CERTIFIED,TX,12/1/07,10/1/08,CENTEX HOUSE LEVELING-WACO LLC,710 S. ROBINSON,,WACO,TX,76706,,,,,CONSTRUCTION WORKER I,16,7.26,HR,7.26,HR
A-07260-27859,10/2/07,9/17/07,CERTIFIED,WV,11/20/07,4/14/08,"SNOWSHOE MOUNTAIN, INC.",P.O. BOX 10,,SNOWSHOE,WV,26209,ROD WILLIAMS,P.O.BOX 140,JOYCE,WA,"CLEANER, HOUSEKEEPING",50,6.17,HR,7.3,HR
A-07260-27861,10/2/07,9/17/07,CERTIFIED,WV,11/15/07,3/31/08,"SNOWSHOE MOUNTAIN, INC.",P.O. BOX 10,,SNOWSHOE,WV,26209,ROD WILLIAMS,P.O.BOX 140,JOYCE,WA,COOK APPRENTICE,20,6.18,HR,7.3,HR
A-07260-27855,10/2/07,9/17/07,CERTIFIED,WV,12/10/07,3/31/08,"SNOWSHOE MOUNTAIN, INC.",P.O. BOX 10,,SNOWSHOE,WV,26209,ROD WILLIAMS,P.O.BOX 140,JOYCE,WA,RECREATION FACILITY ATTENDANT,10,6.13,HR,8,HR
A-07260-27856,10/2/07,9/17/07,CERTIFIED,WV,11/20/07,4/15/08,"SNOWSHOE MOUNTAIN, INC.",P.O. BOX 10,,SNOWSHOE,WV,26209,ROD WILLIAMS,P.O.BOX 140,JOYCE,WA,"INSTRUCTOR, PHYSICAL EDUCATION",25,6.07,HR,9.07,HR
C-07274-28168,10/2/07,10/1/07,CERTIFIED,CO,11/1/07,3/30/08,H & B SNOW REMOVAL SERVICES,PO BOX 2049,916B CHAMBERS AVENUE,EAGLE,CO,81631,AMY J. LIEBOWITZ,LAW OFFICES OF AMY J. LIEBOWITZ,VAIL,CO,SNOW SHOVELER,10,9.58,HR,10.5,HR
A-07263-27991,10/2/07,9/20/07,DENIED,FL,10/31/07,10/31/08,"UNITED IRON WORK, INC.",3274 N.W. 38TH STREET,,MIAMI,FL,33142,"BARBARA WARREN LOLI,  ESQUIRE",80 S.W. 8TH STREET,MIAMI,FL,"WELDER, ARC",0,38917,YR,40000,YR
C-07274-28165,10/2/07,10/1/07,CERTIFIED,CA,11/1/07,8/31/08,INTERNATIONAL POLO CONNECTION,82345 GABLE DRIVE,,INDIO,CA,92201,"SHAWN FRIESTAD, ESQ","FRIESTAD LAW FIRM, APC",SAN DIEGO,CA,STABLE ATTENDANT,10,7.76,HR,10,HR
C-07275-28175,10/2/07,10/1/07,CERTIFIED,CA,12/15/07,10/14/08,"GRANTS FARM MANOR WEST, LLC",10501 GRAVOIS ROAD,,ST. LOUIS,MO,92201,"SHAWN FRIESTAD, ESQ","FRIESTAD LAW FIRM, APC",SAN DIEGO,CA,STABLE ATTENDANT,2,7.76,HR,11.55,HR
C-07269-28101,10/2/07,9/26/07,CERTIFIED,TX,10/30/07,8/30/08,"PRONTO SANDBLASTING & COATING, INC",9456 S. PRESA STREET,,SAN ANTONIO,TX,78223,FRANCISCO M. MALDONADO,"8546 BROADWAY, SUITE 109",SAN ANTONIO,TX,CONSTRUCTION WORKER I,20,7.59,HR,7.75,HR
C-07274-28154,10/2/07,10/1/07,PARTIAL CERTIFIED,TX,10/29/07,11/30/07,"LANDSCAPES UNLIMITED, LLC",1201 ARIES DRIVE,,LINCOLN,NE,68512,GRACE KAN,"KAN LAW, P.C.",IRVING,TX,"LABORER, LANDSCAPE",40,6.93,HR,6.93,HR
C-07271-28127,10/2/07,9/28/07,CERTIFIED,CA,11/1/07,4/23/08,HOMEWOOD MOUNTAIN RESORT,5145 WEST LAKE BLVD,P.O. BOX 105,HOMEWOOD,CA,96141,,,,,ATHLETIC TRAINER,30,9.06,HR,9.06,HR
C-07274-28152,10/2/07,10/1/07,CERTIFIED,AZ,11/15/07,9/14/08,"BLUE DOT STEEL & SUPPLY, INC.",P.O. BOX 12625,,SCOTTSDALE,AZ,85267,VICKI ANDAZOLA,SUAME CORP,PHOENIX,AZ,"LABORER, GENERAL",3,6.97,HR,8,HR
C-07250-27683,10/2/07,9/7/07,DENIED,LA,10/15/07,8/15/08,LAURENTINO M. CARDENAS,108 SWAMP DRIVE,,BOURG,LA,70343,MALVERN C. BURNETT,1523 POLYMNIA STREET,NEW ORLEANS,LA,"DECKHAND, FISHING VESSEL",0,8.21,HR,8.21,HR
A-07260-27865,10/2/07,9/17/07,CERTIFIED,NJ,10/15/07,1/31/08,NATURE'S THERAPY,164 PANORAMA DRIVE,,EDGEWATER,NJ,07020,SVETLANA J. SCHREIBER,SVETLANA SCHREIBER & ASSOC. CO. L.P.A.,CLEVELAND,OH,"SALESPERSON, GENERAL MERCHANDISE",41,7.53,HR,7.54,HR
A-07267-28057,10/3/07,9/24/07,CERTIFIED,NY,12/1/07,9/30/08,"SMITHFIELD FARMS, LLC",20 SMITHFIELD VALLEY ROAD,,AMENIA,NY,12501,"JENNIFER L. KUZMAN, ESQ","LOTZ, DOGGETT & RAWERS, LLP",SAN DIEGO,CA,STABLE ATTENDANT,2,7.72,HR,12.5,HR
A-07271-28135,10/3/07,9/28/07,DENIED,MS,11/1/07,9/1/08,J & M MARINE & INDUSTRIAL LLC,9136 HEATHER LANE,,MOSS POINT,MS,39562,LAW OFFICES OF MALVERN C. BURNETT,MALVERN C. BURNETT,NEW ORLEANS,LA,"WELDER, ARC",0,13.37,HR,15.51,HR
A-07260-27873,10/3/07,9/17/07,PARTIAL CERTIFIED,GA,10/3/07,7/20/08,MOBILE JOE'S LANDSCAPING,"375  MAXWELL ROAD,",,ALPHARETTA,GA,30004,,,,,"LABORER, LANDSCAPE",25,8.05,HR,8.3,HR
A-07253-27724,10/3/07,9/10/07,PARTIAL CERTIFIED,FL,10/1/07,7/1/08,BUGSY HOLDINGS INC  DBA SUBWAY,3402 SOUTH DALEMABRY HWY,,TAMPA,FL,33629,,,,,FAST FOODS WORKER,15,6.8,HR,7,HR
A-07274-28160,10/3/07,10/1/07,CERTIFIED,RI,11/5/07,1/31/08,NC CHORDE ENTERPRISES,P.O. BOX 35420,,BRIGHTON,MA,02135,"BRANISLAV HRUZ, ESQ","1900 SUPERIOR AVE.,",CLEVELAND,OH,"SALESPERSON, GENERAL MERCHANDISE",12,7.99,HR,7.99,HR
A-07274-28153,10/3/07,10/1/07,CERTIFIED,RI,11/5/07,1/31/08,NC CHORDE ENTERPRISES,P.O. BOX 35420,,BRIGHTON,MA,02135,"BRANISLAV HRUZ, ESQ","1900 SUPERIOR AVE.,",CLEVELAND,OH,"SALESPERSON, GENERAL MERCHANDISE",12,7.99,HR,7.99,HR
C-07269-28093,10/3/07,9/26/07,CERTIFIED,WY,12/1/07,4/1/08,ALPENHOF LODGE ASSOCIATES,3255 VILLAGE DR.,,TETON VILLAGE,WY,83025,MICHAELENE ROWE,GLOBAL RESOURCES,RUPERT,ID,"FOOD ASSEMBLER, KITCHEN",2,6.41,HR,9,HR
A-07261-27883,10/3/07,9/17/07,CERTIFIED,NC,11/1/07,8/1/08,"MOBETTER MANAGEMENT, INC. DBA SONIC DRIVE INS",120 COXE  AVENUE,UNIT 3C,ASHEVILLE,NC,28801,,,,,"COOK, FAST FOOD",50,6.15,HR,6.5,HR
C-07274-28164,10/3/07,10/1/07,CERTIFIED,TX,1/1/08,10/31/08,"PEABODY GENERAL CONTRACTORS, INC.",2100 E HIGHWAY 290,PO BOX 3,DRIPPING SPRINGS,TX,78620,TEXAS STAFFING RESOURCES,2101 VAN HORN,CEDAR PARK,TX,CONSTRUCTION WORKER I,35,8.48,HR,8.55,HR
A-07270-28120,10/3/07,9/27/07,CERTIFIED,PA,12/16/07,2/14/08,"C. M. JONES, INC.",960  SWEDESFORD RD.,,EXTON,PA,19341,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA,2901 BUCKS BAYOU ROAD,BAY CITY,TX,"LABORER, LANDSCAPE",35,8.79,HR,8.79,HR
C-07271-28132,10/3/07,9/28/07,CERTIFIED,TX,12/1/07,9/30/08,ADVANCED LAB CONCEPTS,15900 BRATTON LANE,,AUSTIN,TX,78728,TEXAS STAFFING RESOURCES,2101 VAN HORN,CEDAR PARK,TX,PRODUCTION HELPER,40,6.32,HR,8.7,HR
C-07249-27673,10/3/07,9/6/07,CERTIFIED,LA,10/20/07,8/17/08,SANDERS MOBILE HOMES,1111 FLORIDA BLVD,,DENHAM SPRINGS,LA,70726,LINDA WHITE & ASSOCIATES,20791 E. RR AVE,LIVINGSTON,LA,"LABORER, CONSTRUCTION OR LEAK GANG",5,8.57,HR,8.57,HR
C-07240-27436,10/3/07,8/27/07,CERTIFIED,LA,10/1/07,7/31/08,"ANAMESE GARDEN POTS, INC.",18080 LAMOTTE ROAD,,WELSH,LA,70591,KELLY J. COUCH,231 PECAN AVENUE,NEW ROADS,LA,SHIPPING AND RECEIVING CLERK,10,7.49,HR,7.49,HR
C-07253-27750,10/3/07,9/10/07,CERTIFIED,IL,10/15/07,8/1/08,"SPHERE GLOBAL SOLUTIONS, INC.","1000 WEST ADAMS STREET, 603",,CHICAGO,IL,60607,"JASON SAGER, ESQ.",BIRG & MELTSER,DEERFIELD,IL,SOFTWARE ENGINEER,3,35,HR,35,HR
C-07275-28190,10/3/07,10/1/07,CERTIFIED,TX,1/1/08,10/31/08,BETTER ROOFING,161A CL13 BOX 13,,DALE,TX,78616,TEXAS STAFFING RESOURCES,2101 VAN HORN,CEDAR PARK,TX,CONSTRUCTION WORKER I,30,8.16,HR,8.55,HR
A-07270-28122,10/3/07,9/27/07,DENIED,NY,10/1/07,9/30/08,"ZVAH, INC. D/B/A LES ENFANTS TERRIBLES",37 CANAL STREET,,NEW YORK,NY,10002,,,,,FOOD SERVICE SUPERVISOR,0,751.2,WK,875,WK
A-07267-28064,10/3/07,9/24/07,CERTIFIED,NJ,1/1/08,10/15/08,"BEACON HILL SHOW STABLES,  INC",55 LAIRD ROAD,,COLTS NECK,NJ,07722,"SHAWN FRIESTAD, ESQ","FRIESTAD LAW FIRM, APC",SAN DIEGO,CA,STABLE ATTENDANT,8,7.26,HR,11.22,HR
A-07263-27992,10/3/07,9/20/07,DENIED,FL,10/30/07,10/30/08,ABANTO FOOD CORP.  D/B/A  EL CHALAN RESTAURANT,7971 S.W. 40TH STREET,,MIAMI,FL,33155,"BARBARA WARREN LOLI,  ESQUIRE",80 S.W. 8TH STREET,MIAMI,FL,SOUS CHEF,0,36379,YR,36500,YR
A-07275-28171,10/3/07,10/1/07,CERTIFIED,MS,1/1/08,10/31/08,"AMERICA'S CATCH, INC",22696 COUNTY ROAD 507,,ITTA BENA,MS,38941,TODD MILLER,P.O. BOX 1073,HELOTES,TX,"TRIMMER, MEAT",60,6.17,HR,6.17,HR
A-07274-28159,10/3/07,10/1/07,PARTIAL CERTIFIED,NC,11/1/07,8/1/08,"INNOVATIVE LABOR SERVICES, INC.",104 CITY LANE,,DARLINGTON,SC,29532,"MOSES APSAN, ESQ.","LAW OFFICES OF MOSES APSAN, P.C.",ASTORIA,NY,MATERIAL HANDLER,50,7.4,HR,7.4,HR
C-07276-28203,10/3/07,10/3/07,CERTIFIED,NY,12/20/07,10/30/08,BILLY PEARSON DBA SOUTHERN STATE SHOWS,PO BOX 1718,,SPLENDORA,TX,77372,MALCOLM SEHEULT,15210 WATERLINE ROAD,BRADENTON,FL,AMUSEMENT PARK WORKER,12,7.14,HR,7.14,HR
A-07264-28023,10/4/07,9/21/07,CERTIFIED,FL,11/1/07,7/31/08,KESSLER COLLECTION,4901 VINELAND ROAD SUITE 650,,ORLANDO,FL,32811,DIANE HOLLOWAY DHI LLC,7802 KINGSPOINTE PKWY,ORLANDO,FL,"CLEANER, HOUSEKEEPING",55,7.37,HR,7.5,HR
C-07274-28151,10/4/07,10/1/07,CERTIFIED,AZ,11/15/07,5/31/08,WESTWARD LOOK RESORT,245 EAST INA ROAD,,TUCSON,AZ,85704,DOROTHY NICHOLSON,"WALKERS CONSULTING, INC.",ROSEDALE,NY,DINING ROOM ATTENDANT,15,6.75,HR,8,HR
C-07274-28149,10/4/07,10/1/07,CERTIFIED,WI,11/1/07,8/31/08,"GRANITE STOCK REMOVAL, INC.",W4391 CUMBERLAND RD.,,REDGRANITE,WI,54970,TODD MILLER,P.O. BOX 1073,HELOTES,TX,"BONER, MEAT",12,8.34,HR,8.34,HR
C-07274-28145,10/4/07,10/1/07,CERTIFIED,LA,12/1/07,8/31/08,PELICHEM INDUSTRIAL CLEANING SERVICES,284 AIRPORT ROAD,PO BOX 468,RESERVE,LA,70084,"LINDA TURNER, ADNIL SERVICES",P.O. BOX 569,BRUNSWICK,ME,TANK CLEANER,16,6.12,HR,8.03,HR
C-07275-28183,10/4/07,10/2/07,CERTIFIED,UT,1/1/08,10/31/08,"NASC, INC",47 WATER STREET,,MYSTIC,CT,06355,NANCY SCARCELLA,SILK & CO.,CLEVELAND,OH,"COACH, PROFESSIONAL ATHLETES",20,2373,MTH,2833,MTH
C-07275-28187,10/4/07,10/2/07,CERTIFIED,CO,11/15/07,4/15/08,"JIM'S PRIDE LANDSCAPING & MAINTENANCE, INC",13195 NORTH HIGHLAND CIRCLE,,LITTLETON,CO,80125,,,,,SNOW SHOVELER,3,7.72,HR,8.6,HR
A-07261-27926,10/4/07,9/17/07,CERTIFIED,FL,12/15/07,8/15/08,CHEECA LODGE & SPA,PO BOX 527,81801 OVERSEAS HIGHWAY,ISLAMORADA,FL,33036,"KENDRA S. KEMBEL, ESQ.",1300 BENT CREEK BLVD.,MECHANICSBURG,PA,"WAITER/WAITRESS, INFORMAL",60,6.72,HR,6.75,HR
C-07256-27815,10/4/07,9/13/07,DENIED,LA,10/15/07,8/15/08,DEREK GREEN D/BA,3180 BAYOU DULARGE ROAD,,THERIOT,LA,70397,MALVERN C. BURNETT,LAW OFFICES OF MALVERN C. BURNETT,NEW ORLEANS,LA,"DECKHAND, FISHING VESSEL",0,8.21,HR,8.21,HR
A-07274-28155,10/5/07,10/1/07,CERTIFIED,FL,10/1/07,5/30/08,MIAMI SHORES COUNTRY CLUB,10000 BISCAYNE BLVD,,MIAMI SHORES,FL,33138,"DAVID F. DELINKO, ESQ.",VISA SERVICES,SAN MARINO,CA,DINING ROOM ATTENDANT,12,6.75,HR,6.75,HR
C-07275-28184,10/5/07,10/1/07,CERTIFIED,CO,11/15/07,5/15/08,MARRIOTT'S MOUNTAIN VALLEY LODGE,655 COLUMBINE ROAD,P.O.BOX 1937,BRECKENRIDGE,CO,80424,,,,,JANITOR,3,9.58,HR,9.71,HR
A-07261-27930,10/5/07,9/17/07,CERTIFIED,FL,12/15/07,8/15/08,CHEECA LODGE & SPA,PO BOX 527,81801 OVERSEAS HIGHWAY,ISLAMORADA,FL,33036,"KENDRA S. KEMBEL, ESQ.",1300 BENT CREEK BLVD.,MECHANICSBURG,PA,"CLEANER, HOUSEKEEPING",20,7.04,HR,8.25,HR
C-07275-28180,10/5/07,10/1/07,CERTIFIED,AZ,11/1/07,8/31/08,SHELL HOSPITALITY- THE LEGACY GOLF,6808 S 32ND ST,,PHOENIX,AZ,85042,JESUS RAUL LEON,SUAME CORP,PHOENIX,AZ,"CLEANER, HOUSEKEEPING",25,6.75,HR,7.5,HR
A-07264-28025,10/5/07,9/21/07,CERTIFIED,VT,11/1/07,5/31/08,VERMONT HOME SERVICES INC.,P.O. BOX 663,,BONDVILLE,VT,05340,,,,,JANITOR,8,8.68,HR,10,HR
A-07264-28026,10/5/07,9/21/07,CERTIFIED,VT,12/1/07,4/7/08,STRATTON CORPORATION: SKI AND SNOWBOARD SCHOOL,RR1 BOX 145,STRATTON ACCESS ROAD,STRATTON MOUNTAIN,VT,05155,,,,,"INSTRUCTOR, SPORTS",25,7.87,HR,7.87,HR
A-07262-27971,10/5/07,9/19/07,CERTIFIED,FL,11/1/07,5/7/08,"EQUIS ENDEAVOR, INC.",P.O. BOX 877,,FLORAL PARK,NY,11002,,,,,STABLE ATTENDANT,6,7.22,HR,8.43,HR
A-07261-27914,10/5/07,9/18/07,CERTIFIED,FL,11/1/07,4/30/08,EDWIN T. BROOME RACING STABLE,3437 N. E.  210TH TERRACE,,AVENTURA,FL,33180,"INTERNATIONAL PERSONNEL RESOURCES, INC.",P.O. BOX 1507,WEST CHESTER,PA,STABLE ATTENDANT,12,7.26,HR,7.26,HR
C-07275-28192,10/5/07,10/1/07,CERTIFIED,CA,10/12/07,1/31/08,"LA PACIFICA, INC",9701 W PICO BLVD. 100,,LOS ANGELES,CA,90035,SVETLANA SCHREIBER,SVETLANA SCHREIBER AND ASSOC. CO. L.P.A,CLEVELAND,OH,SALES CLERK,12,7.92,HR,7.92,HR
C-07248-27642,10/5/07,9/4/07,CERTIFIED,MT,11/19/07,6/15/08,3 BROTHERS PIZZA & JAVA CO,318 NORTH CENTER AVENUE,,HARDIN,MT,59034,OSMAR TORRES,"AWZWOLT INTERNATIONAL, INC",BILLINGS,MT,COOK,4,6.15,HR,6.15,HR
C-07275-28186,10/5/07,10/1/07,CERTIFIED,CO,11/15/07,5/15/08,MARRIOTT'S MOUNTAIN VALLEY LODGE,655 COLUMBINE ROAD,P.O.BOX 1937,BRECKENRIDGE,CO,80424,,,,,"CLEANER, HOUSEKEEPING",6,9.03,HR,9.17,HR
C-07276-28197,10/5/07,10/2/07,CERTIFIED,WY,12/1/07,4/15/08,WHITE PINE SKI AREA,PO BOX 1420,,PINEDALE,WY,82941,ROD WILLIAMS,PO BOX 140,JOYCE,WA,ATHLETIC TRAINER,5,6.54,HR,9,HR
A-07275-28173,10/5/07,10/1/07,PARTIAL CERTIFIED,GA,11/1/07,5/31/08,"MENDIOLA FORESTRY SERVICE, LLC",P.O. BOX 69,5 CLOVERHILL DRIVE,WARREN,AR,71671,"AGWORKS, INC.",POST OFFICE 580,LAKE PARK,GA,TREE PLANTER,60,7.53,HR,7.53,HR
C-07278-28236,10/5/07,9/14/07,CERTIFIED,CO,12/1/07,2/28/08,"BELMIRE SPRINKLER & LANDSCAPING, INC.",2790 S. LINCOLN AVE,,LOVELAND,CO,80537,FEDERATION OF EMPLOYERS AND WORKERS  OF AMERICA,2901 BUCKS BAYOU ROAD,BAY CITY,TX,SNOW SHOVELER,20,9.35,HR,9.35,HR
A-07263-27981,10/5/07,9/20/07,DENIED,MD,10/20/07,8/20/08,"V-EMPOWER, INC.",6800 WILLOW CREEK ROAD,,BOWIE,MD,20720,"IFTEKHAR UL HAQ, ESQ.",1629 K STREET NW,WASHINGTON,DC,DATA ENTRY CLERK,0,16.94,HR,16.94,HR
