CASE_NO,DECISION_DATE,NPC_SUBMITTED_DATE,CASE_STATUS,VISA_CLASS,ALIEN_WORK_STATE,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,DOT_OCCUPATIONAL_CODE,DOT_NAME,SOC_CODE,SOC_NAME,JOB_TITLE,NBR_WORKERS_REQUESTED,NBR_WORKERS_CERTIFIED,PREVAILING_WAGE,PW_UNIT_OF_PAY,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY
C-10300-51352,1-Nov-10,27-Oct-10,CERTIFIED,H-2B,MD,1-Feb-11,18-Oct-11,"RSV POOLS, INC.",19200 CHENNAULT WAY SUITE G,,GAITHERSBURG,MD,20879,ELIZABETH D. WHITLEY,LOVINGSTON,VA,379.364-014,Beach Lifeguard,339092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",BEACH LIFEGUARD,35,35,8.23,HR,8.23,HR
C-10320-51788,22-Nov-10,16-Nov-10,CERTIFIED,H-2B,PA,1-Mar-11,18-Nov-11,"THE BRICKMAN GROUP, LTD LLC",18227-D FLOWER HILL WAY,,GAITHERSBURG,MD,20879,,,,406.684-014,"Groundskeeper, Industrial-Commercial",373011,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",10,10,10.14,HR,10.14,HR
C-10351-52379,4-Jan-11,17-Dec-10,CERTIFIED,H-2B,MD,1-Apr-11,18-Oct-11,"RSV POOLS, INC.",19200 CHENNAULT WAY SUITE G,,GAITHERSBURG,MD,20879,ELIZABETH D. WHITLEY,LOVINGSTON,VA,379.664-010,Ski Patroller,339092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",SKI PATROLLER,110,110,,,,
C-10298-51323,28-Oct-10,25-Oct-10,PARTIAL CERTIFIED,H-2B,MD,1-Feb-11,1-Dec-11,"GOSHEN ENTERPRISES, INC.",5300 RIGGS ROAD,P.O. BOX 5274,LAYTONSVILLE,MD,20882,"ELIZABETH D. WHITLEY/ MASLABOR H2B, LLC",LOVINGSTON,VA,406.684-014,"Groundskeeper, Industrial-Commercial",373011,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",25,21,9.74,HR,9.74,HR
C-10312-51575,15-Nov-10,8-Nov-10,CERTIFIED,H-2B,MD,7-Feb-11,2-Dec-11,"PANORAMIC LANDSCAPE SERVICES, INC",226 WHITMOOR TERRACE,,SILVER SPRING,MD,20901,ERIC S. BORD,WASHINGTON,DC,408.161-010,Landscape Gardener,373011,Landscaping and Groundskeeping Workers,LANDSCAPE GARDENER,23,23,,,,
C-11003-52983,6-Jan-11,3-Jan-11,CERTIFIED,H-2B,MD,1-Apr-11,28-Nov-11,"PAUL SCHWARTZ LANDSCAPING, LLC",4911 CARROLL MANOR RD.,,BALDWIN,MD,21013,ELIZABETH D. WHITLEY,LOVINGSTON,VA,406.684-014,"Groundskeeper, Industrial-Commercial",373011,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",8,8,9.18,HR,9.18,HR
C-10361-52741,3-Jan-11,27-Dec-10,PARTIAL CERTIFIED,H-2B,MD,1-Apr-11,13-Dec-11,"EXCELL LAWN CARE, INC.",1205 SADDLEBACK WAY,,BEL AIR,MD,21014,ELIZABETH D. WHITLEY,LOVINGSTON,VA,406.684-014,"Groundskeeper, Industrial-Commercial",373011,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",10,9,9.18,HR,9.18,HR
C-11003-52961,21-Jan-11,3-Jan-11,PARTIAL CERTIFIED,H-2B,MD,25-Feb-11,11-Dec-11,"WOODFIELD LANDSCAPING, INC.",732 B BALTIMORE PIKE,,BEL AIR,MD,21014,"KENDRA S KEMBEL, ESQ.",ENOLA,PA,408.687-014,"Laborer, Landscape",373011,Landscaping and Groundskeeping Workers,"LABORER, LANDSCAPE",11,10,9.18,HR,9.18,HR
C-10356-52644,28-Dec-10,22-Dec-10,CERTIFIED,H-2B,MD,1-Apr-11,15-Dec-11,HARTSOE PROPERTY SERVICES,150 NICHOLS ST.,,BEL AIR,MD,21014,ROBERT L. WINGFIELD,DALLAS,TX,408.687-014,"Laborer, Landscape",373011,Landscaping and Groundskeeping Workers,"LABORER, LANDSCAPE",15,15,9.38,HR,9.38,HR
C-10356-52617,29-Dec-10,22-Dec-10,CERTIFIED,H-2B,MD,1-Apr-11,15-Dec-11,"IVY HILL NURSERY COMPANY, INC.",1305 C. ENTERPRISE COURT,,BEL AIR,MD,21014,ELIZABETH D. WHITLEY,LOVINGSTON,VA,406.684-014,"Groundskeeper, Industrial-Commercial",373011,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",35,35,9.21,HR,9.21,HR
C-10301-51396,12-Nov-10,28-Oct-10,PARTIAL CERTIFIED,H-2B,MD,2-Feb-11,1-Dec-11,CARNIE'S LAWN CARE,2309 CHANTAWAY COURT,,BEL AIR,MD,21015,ELIZABETH D. WHITLEY,LOVINGSTON,VA,406.684-014,"Groundskeeper, Industrial-Commercial",373011,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",10,9,9.18,HR,9.18,HR
C-11003-52963,6-Jan-11,3-Jan-11,PARTIAL CERTIFIED,H-2B,MD,1-Apr-11,30-Nov-11,"UNIVERSAL POOL & SPA, INC.",14629 OLD HANOVER ROAD,P.O. BOX 18,BORING,MD,21020,ELIZABETH D. WHITLEY,LOVINGSTON,VA,323.687-014,"Cleaner, Housekeeping",372012,Maids and Housekeeping Cleaners,"CLEANER, HOUSEKEEPING",12,11,8.16,HR,8.16,HR
C-10271-51090,6-Oct-10,27-Sep-10,CERTIFIED,H-2B,FL,1-Dec-10,30-Apr-11,A FERRIS ALLEN III,1330 LONG LEAF DRIVE,,CLARKSVILLE,MD,21029,JEREMY ALAN SCHROEDER,FLOURTOWN,PA,410.674-010,Animal Caretaker,392021,Nonfarm Animal Caretakers,ANIMAL CARETAKER,5,5,7.93,HR,7.93,HR
C-11095-54663,11-Apr-11,5-Apr-11,CERTIFIED,H-2B,DE,1-May-11,30-Nov-11,A. FERRIS ALLEN III,13330 LONG LEAF DRIVE,,CLARKSVILLE,MD,21029,JEREMY ALAN SCHROEDER,FLOURTOWN,PA,410.674-022,Stable Attendant,392021,Nonfarm Animal Caretakers,STABLE ATTENDANT,6,6,8.29,HR,8.29,HR
C-10361-52753,3-Jan-11,27-Dec-10,CERTIFIED,H-2B,MD,1-Apr-11,15-Dec-11,"MJM LANDSCAPING, INC.",10838-D WILLIAMSON LANE,,COCKEYSVILLE,MD,21030,ROBERT L. WINGFIELD,DALLAS,TX,406.687-010,Landscape Specialist,373011,Landscaping and Groundskeeping Workers,LANDSCAPE SPECIALIST,17,17,,,,
C-11014-53382,20-Jan-11,14-Jan-11,CERTIFIED,H-2B,MD,1-Apr-11,30-Nov-11,"SOUTH FORTY LANDSCAPING, INC.",10818 WILLAMSON LANE,,COCKEYSVILLE,MD,21030,ELIZABETH D. WHITLEY,LOVINGSTON,VA,406.684-014,"Groundskeeper, Industrial-Commercial",373011,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",17,17,9.18,HR,9.18,HR
C-10355-52552,27-Dec-10,21-Dec-10,PARTIAL CERTIFIED,H-2B,MD,1-Apr-11,15-Dec-11,"TERRACE TURF LAWN SERVICE, INC.",1272 GENERALS HWY,,CROWNSVILLE,MD,21032,ROBERT LEE WINGFIELD,DALLAS,TX,408.687-014,"Laborer, Landscape",373011,Landscaping and Groundskeeping Workers,"LABORER, LANDSCAPE",12,11,9.18,HR,9.18,HR
C-11026-53637,1-Feb-11,26-Jan-11,CERTIFIED,H-2B,MA,1-Apr-11,1-Dec-11,SOLA DEI GLORIA STABLE,4999 TEN OAKS RD,,DAYTON,MD,21036,CRAIG MCDOUGAL MCDOUGAL,NORMAN,OK,410.674-010,Animal Caretaker,392021,Nonfarm Animal Caretakers,ANIMAL CARETAKER,3,3,8.12,HR,8.12,HR
C-10356-52581,10-Jan-11,22-Dec-10,CERTIFIED,H-2B,MD,1-Apr-11,16-Oct-11,"ANCHOR AQUATICS, INC. DBA  ANCHOR  AQUATICS",3642 SOLOMONS ISLAND ROAD,,EDGEWATER,MD,21037,ERIC D STEINER,CHEVY CHASE,MD,382.664-010,Janitor,372011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",JANITOR,4,4,,,,
C-10336-52111,6-Dec-10,2-Dec-10,PARTIAL CERTIFIED,H-2B,MD,14-Feb-11,14-Dec-11,"COLUMBIA GROUNDS MANAGEMENT, INC.",2020 DANIELS ROAD,,ELLICOTT CITY,MD,21043,ELIZABETH D. WHITLEY,LOVINGSTON,VA,406.684-014,"Groundskeeper, Industrial-Commercial",373011,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",22,20,9.18,HR,9.18,HR
C-10361-52748,30-Dec-10,27-Dec-10,PARTIAL CERTIFIED,H-2B,MD,1-Apr-11,11-Dec-11,"GREEN ANGELS LANDSCAPING, LLC",10475 STATE ROUTE 108,,COLUMBIA,MD,21044,ELIZABETH D. WHITLEY,LOVINGSTON,VA,406.684-014,"Groundskeeper, Industrial-Commercial",373011,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",12,10,9.18,HR,9.18,HR
C-11024-53568,27-Jan-11,24-Jan-11,CERTIFIED,H-2B,MD,1-Mar-11,1-Dec-11,"KINGDOM BLOODSTOCK, INC",7617 WEATHER WORN WAY,,COLUMBIA,MD,21046,CRAIG MCDOUGAL,NORMAN,OK,153.674-010,"Exerciser, Horse",392021,Nonfarm Animal Caretakers,"EXERCISER, HORSE",2,2,8.12,HR,8.12,HR
C-10293-51263,25-Oct-10,20-Oct-10,CERTIFIED,H-2B,MD,1-Aug-10,31-May-11,JOHN EDWIN SALZMAN JR,4047 SYKESVILLE RD,,FINSKBURG,MD,21048,GRAIG MCDOUGAL MCDOUGAL,NORMAN,OK,419.224-010,Horse Trainer,392011,Animal Trainers,HORSE TRAINER,4,4,,,,
C-11146-54969,31-May-11,26-May-11,CERTIFIED,H-2B,VA,1-Apr-11,1-Dec-11,JOHN EDWIN SALZMAN JR,4047 SKYESVILLE RD.,,FINKSBURG,MD,21048,CRAIG MCDOUGAL MCDOUGAL,NORMAN,OK,410.674-010,Animal Caretaker,392021,Nonfarm Animal Caretakers,ANIMAL CARETAKER,5,5,7.41,HR,7.41,HR
C-10313-51626,2-Dec-10,9-Nov-10,CERTIFIED,H-2B,MD,15-Feb-10,15-Dec-10,"BARTENFELDER LANDSCAPE SERVICE, INC",505 GRANARY ROAD,,FOREST HILL,MD,21050,ROBERT L. WINGFIELD,DALLAS,TX,408.687-014,"Laborer, Landscape",373011,Landscaping and Groundskeeping Workers,"LABORER, LANDSCAPE",41,41,9.38,HR,9.38,HR
C-11006-53141,12-Jan-11,6-Jan-11,CERTIFIED,H-2B,MD,1-Apr-11,1-Dec-11,"LAKESIDE LAWN & LANDSCAPING, INC.",2210 ISSACS WAY,,FOREST HILL,MD,21050,FERNANDO ERNESTO SAENZ/ WORKFORCE ADVANTAGE,MECHANICSVILLE,VA,408.687-014,"Laborer, Landscape",373011,Landscaping and Groundskeeping Workers,"LABORER, LANDSCAPE",6,6,9.18,HR,9.18,HR
C-11010-53248,31-Jan-11,10-Jan-11,CERTIFIED,H-2B,MD,15-Feb-11,15-Dec-11,"DEER RIDGE, INC. DBA DRI",2436 BULLS SAWMILL ROAD,,FREELAND,MD,21053,,,,406.684-014,"Groundskeeper, Industrial-Commercial",373011,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",3,3,9.18,HR,9.18,HR
C-10301-51399,2-Nov-10,28-Oct-10,PARTIAL CERTIFIED,H-2B,MD,1-Feb-11,30-Nov-11,"CEDAR RIDGE LANDSCAPE, INC.",4701 LONG GREEN ROAD,,GLEN ARM,MD,21057,ELIZABETH D. WHITLEY,LOVINGSTON,VA,406.684-014,"Groundskeeper, Industrial-Commercial",373011,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",10,8,9.18,HR,9.18,HR
C-11003-52995,6-Jan-11,3-Jan-11,PARTIAL CERTIFIED,H-2B,MD,1-Apr-11,1-Dec-11,"PINEHURST LANDSCAPE CO., INC.",4809 LONG GREEN ROAD,,GLEN ARM,MD,21057,ELIZABETH D. WHITLEY,LOVINGSTON,VA,406.684-014,"Groundskeeper, Industrial-Commercial",373011,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",12,11,9.18,HR,9.18,HR
C-10361-52751,3-Jan-11,27-Dec-10,CERTIFIED,H-2B,ME,1-Apr-11,10-Dec-11,LEE'S LAWN SERVICE,4319 LONG GREEN ROAD,,GLEN ARM,MD,21057,ELIZABETH D. WHITLEY,LOVINGSTON,VA,406.684-014,"Groundskeeper, Industrial-Commercial",373011,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",10,10,,HR,11.04,HR
C-10309-51528,10-Nov-10,5-Nov-10,CERTIFIED,H-2B,MD,1-Feb-11,1-Dec-11,EVERGREEN GENE'S INC,401 S CRAIN HWY.,,GLEN BURNIE,MD,21061,BRANDI COWAN,BAY CITY,TX,406.684-014,"Groundskeeper, Industrial-Commercial",373011,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",8,8,9.18,HR,9.18,HR
C-10362-52827,4-Jan-11,28-Dec-10,PARTIAL CERTIFIED,H-2B,MD,1-Apr-11,8-Dec-11,"OUTSIDE UNLIMITED, INC.",4195 ST. PAUL ROAD,,HAMPSTEAD,MD,21074,ELIZABETH D. WHITLEY,LOVINGSTON,VA,406.687-010,Landscape Specialist,373011,Landscaping and Groundskeeping Workers,LANDSCAPE SPECIALIST,60,58,,,,
C-10320-51776,19-Nov-10,16-Nov-10,PARTIAL CERTIFIED,H-2B,MD,14-Feb-11,13-Dec-11,"QUALITY ONE, INC.",1723 DETH'S FORD ROAD,,HARVRE DE GRACE,MD,21078,ELIZABETH D. WHITLEY,LOVINGSTON,VA,408.161-010,Landscape Gardener,373011,Landscaping and Groundskeeping Workers,LANDSCAPE GARDENER,11,10,9.18,HR,9.18,HR
C-10357-52676,29-Dec-10,23-Dec-10,PARTIAL CERTIFIED,H-2B,MD,1-Apr-11,15-Dec-11,"J.D. LAWN SERVICE, INC.",539 CRAIGS CORNER RD.,,HAVRE DE GRACE,MD,21078,"ROBERT LEE WINGFIELD /AMIGOS LABOR SOLUTIONS, INC.",DALLAS,TX,406.684-014,"Groundskeeper, Industrial-Commercial",373011,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",12,10,9.22,HR,9.22,HR
C-10319-51727,19-Nov-10,15-Nov-10,CERTIFIED,H-2B,MD,28-Feb-11,1-Dec-11,"AKEHURST LANDSCAPE SERVICE, INC.",712 PHILADELPHIA ROAD,,JOPPA,MD,21085,DILIP  PATEL,OLDSMAR,FL,408.687-014,"Laborer, Landscape",373011,Landscaping and Groundskeeping Workers,"LABORER, LANDSCAPE",35,35,,HR,9.18,HR
C-10316-51671,30-Nov-10,12-Nov-10,CERTIFIED,H-2B,MD,15-Feb-11,15-Dec-11,"ALPHA LANDSCAPE CONTRACTORS, INC.",2823 FLINTSTONE ROAD,,MILLERS,MD,21102,ELIZABETH D. WHITLEY,LOVINGSTON,VA,406.684-014,"Groundskeeper, Industrial-Commercial",373011,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",23,23,9.18,HR,9.18,HR
C-10307-51475,8-Nov-10,3-Nov-10,PARTIAL CERTIFIED,H-2B,MD,1-Feb-11,26-Nov-11,LAND ART INC,7605 RIDGE RD.,,MARRIOTTSVILLE,MD,21104,BRANDI COWAN,BAY CITY,TX,408.687-014,"Laborer, Landscape",373011,Landscaping and Groundskeeping Workers,"LABORER, LANDSCAPE",7,5,,,,
C-10323-51932,26-Nov-10,19-Nov-10,CERTIFIED,H-2B,MD,28-Feb-11,1-Dec-11,"JAMS LAWN & GARDENING, INC.",1790 SEVERN CHAPEL ROAD,,MILLERSVILLE,MD,21108,BRENT ALAN REES,WESLEY CHAPEL,FL,408.161-010,Landscape Gardener,373011,Landscaping and Groundskeeping Workers,LANDSCAPE GARDENER,60,60,9.18,HR,9.18,HR
C-10354-52503,7-Jan-11,20-Dec-10,PARTIAL CERTIFIED,H-2B,MD,1-Mar-11,15-Dec-11,MANOR VIEW FARMS INC.,15601 MANOR RD,,MONKTON,MD,21111,FERNANDO ERNESTO SAENZ,MECHANICSVILLE,VA,451.137-010,Forest Nursery Supervisor,451011,"First-Line Supervisors/Managers of Farming, Fishing, and Forestry Workers",FOREST NURSERY SUPERVISOR,12,10,11.15,HR,11.15,HR
C-10349-52273,20-Dec-10,15-Dec-10,CERTIFIED,H-2B,MD,1-Mar-11,15-Dec-11,"KINGSDENE NURSERIES, INC.",16435 YORK ROAD,,MONKTON,MD,21111,ROBERT WINGFIELD,DALLAS,TX,406.684-014,"Groundskeeper, Industrial-Commercial",373011,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",8,8,9.18,HR,9.18,HR
C-11054-54180,1-Mar-11,23-Feb-11,CERTIFIED,H-2B,NY,1-Mar-11,30-Nov-11,THOMAS H. VOSS STABLE,2933 POCUCK RD.,,MONKTON,MD,21111,"RON KATIRAEI, ESQ./ LAW OFFICES OF RON KATIRAEI",JACKSON HEIGHTS,NY,410.674-022,Stable Attendant,392021,Nonfarm Animal Caretakers,STABLE ATTENDANT,15,15,8.42,HR,8.42,HR
C-11006-53115,26-Jan-11,6-Jan-11,PARTIAL CERTIFIED,H-2B,MD,25-Apr-11,30-Sep-11,"AMERICAN POOL ENTERPRISES, INC.",11515 CRONRIDGE DRIVE,SUITE Q,OWINGS MILLS,MD,21117,JONATHAN WILLIAM BIERER,BALTIMORE,MD,237.367-038,Receptionist,434171,Receptionists and Information Clerks,RECEPTIONIST,5,4,9.32,HR,9.32,HR
C-11040-53924,11-Mar-11,9-Feb-11,PARTIAL CERTIFIED,H-2B,MD,20-May-11,30-Sep-11,"AMERICAN POOL ENTERPRISES, INC.",11515 CRONRIDGE DRIVE,SUITE Q,OWINGS MILLS,MD,21117,JONATHAN WILLIAM BIERER,BALTIMORE,MD,379.364-014,Beach Lifeguard,339092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",BEACH LIFEGUARD,200,198,8.23,HR,8.23,HR
C-10316-51674,17-Nov-10,12-Nov-10,CERTIFIED,H-2B,MD,14-Feb-11,10-Dec-11,"BOB JACKSON LANDSCAPES, INC.",11436 CRONRIDGE DRIVE,,OWINGS MILLS,MD,21117,ELIZABETH D. WHITLEY,LOVINGSTON,VA,406.684-014,"Groundskeeper, Industrial-Commercial",373011,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",45,45,9.74,HR,9.74,HR
C-11006-53104,12-Jan-11,6-Jan-11,CERTIFIED,H-2B,VA,1-Apr-11,30-Sep-11,"AMERICAN POOL ENTERPRISES, INC.",11515 CRONRIDGE DRIVE,SUITE Q,OWINGS MILLS,MD,21117,JONATHAN WILLIAM BIERER,BALTIMORE,MD,862.684-014,"Laborer, Construction or Leak Gang",519198,Helpers--Production Workers,"LABORER, CONSTRUCTION OR LEAK GANG",25,25,12.73,HR,12.73,HR
C-11006-53124,4-Feb-11,6-Jan-11,DENIED,H-2B,MD,1-Apr-11,30-Sep-11,"AMERICAN POOL ENTERPRISES, INC.",11515 CRONRIDGE DRIVE,SUITE Q,OWINGS MILLS,MD,21117,JONATHAN WILLIAM BIERER,BALTIMORE,MD,862.684-014,"Laborer, Construction or Leak Gang",519198,Helpers--Production Workers,"LABORER, CONSTRUCTION OR LEAK GANG",35,0,11.97,HR,11.97,HR
C-11040-53935,23-Mar-11,9-Feb-11,DENIED,H-2B,VA,20-May-11,30-Sep-11,AMERICAN POOL ENTERPRISES INC.,11515 CRONRIDGE DRIVE,,OWINGS MILLS,MD,21117,JONATHAN WILLIAM BIERER,BALTIMORE,MD,379.364-014,Beach Lifeguard,339092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",BEACH LIFEGUARD,200,0,7.96,HR,7.96,HR
C-11110-54762,20-Apr-11,19-Apr-11,CERTIFIED,H-2B,VA,20-May-11,30-Sep-11,AMERICAN POOL ENTERPRISES INC.,11515 CRONRIDGE DRIVE,SUITE Q,OWINGS MILLS,MD,21117,JONATHAN WILLIAM BIERER,BALTIMORE,MD,891.684-018,Swimming-Pool Servicer,372011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",SWIMMING POOL SERVICER,200,200,,,,
C-11012-53297,19-Jan-11,12-Jan-11,CERTIFIED,H-2B,MD,1-Apr-11,10-Dec-11,"CUSTOM GROUND MAINTENANCE, INC",17539 PRETTYBOY DAM ROAD,,PARKTON,MD,21120,ELIZABETH D. WHITLEY,LOVINGSTON,VA,408.687-014,"Laborer, Landscape",373011,Landscaping and Groundskeeping Workers,"LABORER, LANDSCAPE",10,10,,,,
C-11012-53322,19-Jan-11,12-Jan-11,PARTIAL CERTIFIED,H-2B,MD,1-Apr-11,30-Nov-11,"MARYLAND NATIVES NURSERY, INC. DBA AMERICAN NATIVE",4812 EAST JOPPA ROAD P.O. BOX 158,,PERRY HALL,MD,21128,ELIZABETH D. WHITLEY,LOVINGSTON,VA,404.687-010,"Farmworker, Field Crop II",452092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse","FARMWORKER, FIELD CROP II",7,5,7.67,HR,7.67,HR
C-10307-51476,8-Nov-10,3-Nov-10,PARTIAL CERTIFIED,H-2B,MD,14-Feb-11,13-Dec-11,"LEYLAND LANDSCAPING, INC.",14419 OLD HANOVER ROAD,,REISTERTOWN,MD,21136,ELIZABETH D. WHITLEY,LOVINGSTON,VA,408.687-014,"Laborer, Landscape",373011,Landscaping and Groundskeeping Workers,"LABORER, LANDSCAPE",15,13,9.18,HR,9.18,HR
C-11019-53480,25-Jan-11,19-Jan-11,PARTIAL CERTIFIED,H-2B,MD,1-Apr-11,1-Dec-11,"LIVE GREEN LANDCAPE ASSOCIATES, LLC",147 MAIN STREET,,REISTERSTOWN,MD,21136,"ELIZABETH D. WHITLEY / MASLABOR H2B, LLC",LOVINGSTON,VA,408.687-014,"Laborer, Landscape",373011,Landscaping and Groundskeeping Workers,"LABORER, LANDSCAPE",25,24,9.18,HR,9.18,HR
C-10326-51957,16-Dec-10,22-Nov-10,PARTIAL CERTIFIED,H-2B,MD,28-Feb-11,1-Dec-11,"HALLATON, INC.",1206 SPARKS RD,,SPARKS,MD,21152,BRENT ALAN REES,WESLEY CHAPEL,MD,691.687-010,Production Helper,519198,Helpers--Production Workers,PRODUCTION HELPER,45,43,9,HR,9,HR
C-10313-51600,29-Nov-10,9-Nov-10,CERTIFIED,H-2B,MD,15-Feb-11,15-Dec-11,"WILLIAM T. KING, INC.",619 EAST COLD BOTTOM ROAD,,SPARKS,MD,21152,"ELIZABETH D. WHITLEY / MAS LABOR H2B, LLC",LOVINGSTON,VA,406.684-014,"Groundskeeper, Industrial-Commercial",373011,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",10,10,9.21,HR,9.21,HR
C-10341-52182,15-Dec-10,7-Dec-10,PARTIAL CERTIFIED,H-2B,MD,1-Feb-11,1-Dec-11,"TURF CONNECTION, INC.",3538 PROSPECT ROAD,,STREET,MD,21154,FERNANDO ERNESTO SAENZ/ WORKFORCE ADVANTAGE,MECHANICSVILLE,VA,406.684-014,"Groundskeeper, Industrial-Commercial",373011,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",12,11,11.04,HR,11.04,HR
C-10356-52588,10-Jan-11,22-Dec-10,CERTIFIED,H-2B,MD,1-Apr-11,16-Dec-11,"OAK HILL LAWN CARE AND LANDSCAPING, INC",1839 SUSQUEHANNA HALL ROAD,,WHITEFORD,MD,21160,ELIZABETH D. WHITLEY,LOVINGSTON,VA,406.687-010,Landscape Specialist,373011,Landscaping and Groundskeeping Workers,LANDSCAPE SPECIALIST,5,5,9.18,HR,9.18,HR
C-11005-53062,11-Jan-11,5-Jan-11,PARTIAL CERTIFIED,H-2B,MD,1-Apr-11,1-Dec-11,"A.R. STAR SERVICES, INC.",19832 OLD YORK ROAD,,WHITE HALL,MD,21161,"ELIZABETH D. WHITLEY MASLABOR H2B, LLC",LOVINGSTON,VA,408.687-014,"Laborer, Landscape",373011,Landscaping and Groundskeeping Workers,"LABORER, LANDSCAPE",20,17,9.18,HR,9.18,HR
C-10354-52509,23-Dec-10,20-Dec-10,CERTIFIED,H-2B,MD,1-Apr-11,15-Dec-11,A CHANGE OF SCENERY,1811 WILSON RD.,,WHITE HALL,MD,21167,ROBERT LEE WINGFIELD,DALLAS,TX,406.684-014,"Groundskeeper, Industrial-Commercial",373011,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",9,9,9.18,HR,9.18,HR
C-10340-52158,8-Dec-10,6-Dec-10,PARTIAL CERTIFIED,H-2B,MD,26-Feb-11,15-Dec-11,MARRIOTT INTERNATIONAL DBA BALTIMORE MARRIOTT WATE,700 ALICEANNA ST,,BALTIMORE,MD,21202,VERONICA T STRICKLAND-BIRKENSTOCK,DALLAS,TX,311.677-018,Dining Room Attendant,359011,Dining Room and Cafeteria Attendants and Bartender Helpers,DINING ROOM ATTENDANT,22,20,15.45,HR,15.45,HR
C-10340-52161,14-Dec-10,6-Dec-10,PARTIAL CERTIFIED,H-2B,MD,26-Feb-11,15-Dec-11,MARRIOTT INTERNATIONAL D/B/A BALTIMORE MARRIOTT WA,700 ALICEANNA STREET,,BALTIMORE,MD,21202,VERONICA T STRICKLAND-BIRKENSTOCK,DALLAS,TX,323.687-014,"Cleaner, Housekeeping",372012,Maids and Housekeeping Cleaners,"CLEANER, HOUSEKEEPING",23,21,11.6,HR,11.6,HR
C-10308-51497,10-Nov-10,4-Nov-10,CERTIFIED,H-2B,WV,1-Dec-10,31-May-11,DP HOUGHTON THOROUGHBRED MANAGEMENT,544 PARK AVE,,TOWSON,MD,21204,CRAIG D MCDOUGAL,NORMAN,OK,410.674-010,Animal Caretaker,392021,Nonfarm Animal Caretakers,ANIMAL CARETAKER,8,8,8.12,HR,8.12,HR
C-11147-54978,1-Jun-11,27-May-11,CERTIFIED,H-2B,MD,1-Apr-11,1-Dec-11,DP HOUGHTON THOROUGHBRED MANAGEMENT,544 PARK AVE,,TOWSON,MD,21204,CRAIG MCDOUGAL,NORMAN,OK,410.674-010,Animal Caretaker,392021,Nonfarm Animal Caretakers,ANIMAL CARETAKER,9,9,,,,
C-10356-52645,10-Jan-11,22-Dec-10,CERTIFIED,H-2B,MD,1-Mar-11,15-Dec-11,"GIBSON LANDSCAPES, INC.",6427 FALLS RD,,BALTIMORE,MD,21209,FERNANDO ERNESTO SAENZ,MECHANICSVILLE,VA,,,,,,15,15,9.18,HR,9.18,HR
