CASE_NO,DECISION_DATE,NPC_SUBMITTED_DATE,CASE_STATUS,APPLICATION_TYPE,ALIEN_WORK_STATE,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,DOT_OCCUPATIONAL_CODE,JOB_TITLE,NBR_WORKERS_REQUESTED,NBR_WORKERS_CERTIFIED,PREVAILING_WAGE,PW_UNIT_OF_PAY,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY
C-10242-50941,7-Sep-10,30-Aug-10,DENIED,H-2B,MA,1-Nov-10,1-Nov-12,ADAM FOX,26 TRAVIS ST.,,WORCESTER,MA,01604,,,,301.677-010,CHILD MONITOR,1,0,12,HR,12,HR
C-09324-47311,9-Dec-09,20-Nov-09,CERTIFIED,H-2B,MA,20-Dec-09,15-Jul-10,"LCA CLEANING SERVICES, INC.","12 RODNEY ST., #1",,WORCESTER,MA,01605,PETER JAMES CRAMER,SUDBURY,MA,382.664-010,JANITOR,8,8,10.72,HR,10.72,HR
C-10207-50648,16-Aug-10,26-Jul-10,DENIED,H-2B,MA,3-May-10,3-Sep-10,MEDICA CORPORATION,5 OAK PARK DRIVE,,BEDFORD,MA,01730,,,,019.061-010,BIOMEDICAL ENGINEER,1,0,1680,BI,1680,BI
C-10015-48781,26-Jan-10,14-Jan-10,CERTIFIED,H-2B,MA,17-Apr-10,30-Oct-10,ISLAND HOLDINGS LLC DBA WINNETU OCEANSIDE RESORT,321 COMMONWEALTH ROAD,SUITE 100,WAYLAND,MA,01778,VERONICA STRICKLAND-BIRKENSTOCK,DALLAS,TX,321.137-010,HOUSEKEEPER,16,16,,,,
C-10071-49625,12-Mar-10,5-Feb-10,CERTIFIED,H-2B,MA,18-May-10,24-Oct-10,"ISLAND HOLDINGS, LLC D/B/A WINNETU OCEANSIDE RESOR",321 COMMONWEALTH ROAD,SUITE 201,WAYLAND,MA,01778,VERONICA STRICKLAND,DALLAS,TX,350.677-030,WAITER/WAITRESS,3,3,11.95,HR,11.95,HR
C-10123-50025,6-May-10,3-May-10,CERTIFIED,H-2B,MA,20-May-10,31-Oct-10,BLUE HILL ASSOCIATES INC. D/B/A BLUE HILL COUNTRY,23 PECUNIT STREET,,CANTON,MA,02021,PETER PETRINA,GARNERVILLE,NY,311.477-026,"WAITER/WAITRESS, FORMAL",7,7,8.33,HR,8.33,HR
C-09351-47676,4-Jan-10,15-Dec-09,CERTIFIED,H-2B,NY,1-Apr-10,30-Nov-14,BOSTON GOLF CLUB,19 OLD COUNTY RD.,,HINGHAM,MA,02043,JOHN GISMONDI,WESTBURY,NY,408.687-014,"LABORER, LANDSCAPE",15,15,10.49,HR,10.49,HR
C-10021-48935,27-Jan-10,21-Jan-10,CERTIFIED,H-2B,MA,1-Apr-10,1-Dec-10,"MACAULEY BROS., INC.",84 PLEASANT STREET,"528 COLUMBIAN STREET, WEYMOUTH, MA 02190",NORWELL,MA,02061,MARK CARCHIDI,YARMOUTH  PORT,MA,408.687-014,"LABORER, LANDSCAPE",12,12,10.49,HR,10.49,HR
C-09356-47899,28-Dec-09,18-Dec-09,CERTIFIED,H-2B,MA,1-Apr-10,30-Nov-10,ROMEIRO'S LANDSCAPING INC,1790 WASHINGTON STREET,,STOUGHTON,MA,02072,APRIL MCKINNEY,BAY CITY,TX,408.687-014,"LABORER, LANDSCAPE",7,7,10.49,HR,10.49,HR
C-09362-48217,8-Jan-10,24-Dec-09,CERTIFIED,H-2B,MA,1-Apr-10,15-Dec-10,SAFE MOVERS INC. DBA ISAAC'S MOVING AND STORAGE,181 CAMPANELLI PARKWAY,,STOUGHTON,MA,02072,"CHARLES F. GOLDSMITH,",BEVERLY,MA,929.687-030,MATERIAL HANDLER,20,20,,HR,9.98,HR
C-09323-47302,23-Nov-09,19-Nov-09,PARTIAL CERTIFIED,H-2B,MA,22-Feb-10,1-Dec-10,GENTLE GIANT MOVING CO INC,29 HARDING ST.,,SOMERVILLE,MA,02143,RITA ROMERO,BAY CITY,TX,929.687-030,MATERIAL HANDLER,70,67,9.96,HR,9.96,HR
C-09356-47840,24-Dec-09,17-Dec-09,PARTIAL CERTIFIED,H-2B,MA,1-Apr-10,15-Dec-10,"GARRICK CONSTRUCTION, INC.",114 EASTERN AVE,,MALDEN,MA,02148,,,,408.687-014,"LABORER, LANDSCAPE",20,19,10.49,HR,10.49,HR
C-10175-50366,16-Jul-10,24-Jun-10,CERTIFIED,H-2B,MA,1-Oct-10,1-Feb-11,"ALMORA COSMETICS, INC.",501 MATTHEW CIRCLE,UNIT 206,BRAINTREE,MA,02184,THOMAS NICHOLAS TOSCANO,GREAT NECK,NY,290.477-014,SALES CLERK,15,15,8.67,HR,8.67,HR
C-10138-50129,16-Jun-10,18-May-10,DENIED,H-2B,NH,1-Jun-10,28-Oct-10,"BRCNH HOLDINGS, LLC DBA WILLIAM TELL RESTAURANT &",151 POQUANTICUT AVENUE,,NORTH EASTON,MA,02356,MEGAN E. KLUDT,BOSTON,MA,319.467-010,FOOD ORDER EXPEDITER,1,0,,,,
C-10113-49962,21-May-10,23-Apr-10,DENIED,H-2B,MA,15-May-10,31-Oct-10,CHARLES RIVER RECREATION D/B/A CHARLES RIVER CANOE,2401 COMMONWEALTH AVENUE,,NEWTON,MA,02466,,,,295.467-014,BOAT RENTAL CLERK,1,0,12,HR,12,HR
C-10209-50679,10-Aug-10,28-Jul-10,CERTIFIED,H-2B,MA,1-Oct-10,31-Mar-11,THE COUNTRY CLUB,191 CLYDE STREET,,CHESTNUT HILL,MA,02467,MAUREEN O'SULLIVAN,BOSTON,MA,153.227-014,"INSTRUCTOR, PHYSICAL",1,1,,,,
C-09328-47365,30-Nov-09,24-Nov-09,CERTIFIED,H-2B,MA,1-Mar-10,30-Nov-10,SPIKE INC DBA OLYMPIA MOVING & STORAGE,17 BRIDGE STREET,,WATERTOWN,MA,02472,FEDERATION OF EMPLOYERS & WORKERS OF AMERICA,BAY CITY,TX,929.687-030,MATERIAL HANDLER,30,30,9.87,HR,9.87,HR
C-09286-46657,14-Oct-09,22-Jul-09,PARTIAL CERTIFIED,H-2B,MA,1-Oct-09,15-Jun-10,"BELMONT CAR WASH, INC.",1010 PLEASANT STREET,,BELMONT,MA,02478,"MARY ELLEN RYAN / LAW OFFICE OF BRIAN T. O'NEILL,",BOSTON,MA,599.684-010,EQUIPMENT CLEANER,50,46,8.54,HR,8.54,HR
C-10013-48746,2-Feb-10,13-Jan-10,CERTIFIED,H-2B,MA,1-Apr-10,30-Nov-10,"WAVERLY LANDSCAPE ASSOCIATES, INC.",1010 PLEASANT STREET,,BELMONT,MA,02478,"MARY ELLEN RYAN / LAW OFFICE OF BRIAN T. O'NEILL,",BOSTON,MA,408.687-014,"LABORER, LANDSCAPE",46,46,,,,
C-10064-49573,10-Mar-10,5-Mar-10,CERTIFIED,H-2B,MA,1-May-10,1-Oct-10,COONAMESSETT FARM,277 HATCHVILLE RD.,,EAST FALMOUTH,MA,02536,AMY ELLEN FERREIRA,MASHPEE,MA,319.484-010,"FOOD ASSEMBLER, KITCHEN",2,2,,,,
C-10119-50013,20-May-10,29-Apr-10,DENIED,H-2B,MA,10-May-10,1-Dec-10,LNRR DBA BOB'S SEAFOOD CAFE',P.O. BOX 3156,,WAQUOIT,MA,02536,PATRICIA R WARREN INTERNATIONAL EMPLOYMENT SOLUTIO,TUNBRIDGE,VT,313.361-014,COOK,4,0,10.55,HR,10.55,HR
C-10015-48782,20-Jan-10,14-Jan-10,CERTIFIED,H-2B,MA,12-Apr-10,24-Oct-10,"ISLAND HOLDINGS, L.L.C.",31 DUNES ROAD,,EDGARTOWN,MA,02539,VERONICA T. STRICKLAND,DALLAS,TX,238.367-038,HOTEL CLERK,3,3,,,,
C-10020-48891,5-Feb-10,20-Jan-10,CERTIFIED,H-2B,MA,1-Apr-10,25-Oct-10,EDGARTOWN COMMONS CONDOMINIUM TRUST,20 PEASE'S POINT WAY,,EDGARTOWN,MA,02539,MARILYN H. VUKOTA,EDGARTOWN,MA,321.137-010,HOUSEKEEPER,5,5,,,,
C-10020-48889,8-Feb-10,20-Jan-10,CERTIFIED,H-2B,MA,1-Apr-10,15-Nov-10,PAUL J. PERTILE D/B/A M.V. TENNIS,49 BOLD MEADOW ROAD,,EDGARTOWN,MA,02539,MARILYN H. VUKOTA,EDGARTOWN,MA,408.687-014,"LABORER, LANDSCAPE",2,2,13.24,HR,13.24,HR
C-10028-49101,11-Feb-10,28-Jan-10,CERTIFIED,H-2B,MA,1-Apr-10,30-Nov-10,HARBORSIDE INN CONDO TRUST,P.O. BOX 67,3 SOUTH WATER STREET,EDGARTOWN,MA,02539,VIVIAN MARIE HAWKER,ORLANDO,FL,323.687-014,"CLEANER, HOUSEKEEPING",14,14,8.82,HR,8.82,HR
C-10036-49224,17-Feb-10,5-Feb-10,CERTIFIED,H-2B,MA,1-Apr-10,19-Oct-10,"TRANSIT CONNECTION, INC",MVBP RR 1 BOX 3,,EDGARTOWN,MA,02539,THE MCNAMARA FIRM L.P.,AUSTIN,TX,919.683-014,DRIVER,10,10,15,HR,15,HR
C-10061-49528,1-Apr-10,2-Mar-10,CERTIFIED,H-2B,MA,1-May-10,15-Dec-10,"MURDICK'S FUDGE COMPANY OF MASS., INC.",21 N. WATER STREET,,EDGARTOWN,MA,02539,MARILYN H VUKOTA,EDGARTOWN,MA,319.484-010,"FOOD ASSEMBLER, KITCHEN",15,15,10.06,HR,10.06,HR
C-09364-48365,14-Jan-10,30-Dec-09,CERTIFIED,H-2B,MA,1-Apr-10,15-Dec-10,"CAPE COD RESTAURANTS, INC DBA COONAMESSETT INN",311 GIFFORD ST.,,FALMOUTH,MA,02540,AMY ELLEN FERREIRA,MASHPEE,MA,319.484-010,"FOOD ASSEMBLER, KITCHEN",30,30,,,,
C-09364-48359,15-Jan-10,30-Dec-09,CERTIFIED,H-2B,MA,1-Apr-10,15-Dec-10,"CAPE COD RESTAURANTS, INC DBA THE COONAMESSETT INN",311 GIFFORD ST.,,FALMOUTH,MA,02540,AMY ELLEN FERREIRA,MASHPEE,MA,311.477-030,"WAITER/WAITRESS, INFORMAL",35,35,10.85,HR,10.85,HR
C-10007-48561,25-Jan-10,7-Jan-10,CERTIFIED,H-2B,MA,1-Apr-10,30-Nov-10,"INN ON THE SQUARE, LLC DBA INN ON THE SQUARE",40 NORTH MAIN STREET,,FALMOUTH,MA,02540,,,,321.137-010,HOUSEKEEPER,8,8,,,,
C-09364-48351,12-Jan-10,30-Dec-09,CERTIFIED,H-2B,MA,15-Apr-10,15-Nov-10,"WOODS HOLE MOTOR INN, INC. D/B/A SLEEPY HOLLOW MOT",PO BOX 743,,WOODS HOLE,MA,02543,"JANE NICHOLS BISHOP, PEAK SEASON WORKFORCE,",WEST DENNIS,MA,321.137-010,HOUSEKEEPER,4,4,9.69,HR,9.69,HR
C-10050-49408,24-Feb-10,19-Feb-10,CERTIFIED,H-2B,MA,1-May-10,30-Oct-10,SWORDFISH ENTERPRISES / DBA THE INNS AT MENEMSHA,12 MENEMSHA ROAD,,MENEMSHA,MA,02552,ANA COHEN COHEN,BETHESDA,MD,319.484-010,"FOOD ASSEMBLER, KITCHEN",6,6,10.06,HR,10.06,HR
C-10050-49407,24-Feb-10,19-Feb-10,CERTIFIED,H-2B,MA,1-May-10,30-Oct-10,SWORDFISH ENTERPRISES / DBA THE INNS AT MENEMSHA,12 MENEMSHA ROAD,,MENEMSHA,MA,02552,ANA COHEN COHEN,BETHESDA,MD,321.137-010,HOUSEKEEPER,12,12,11.28,HR,11.28,HR
C-09355-47803,24-Dec-09,17-Dec-09,CERTIFIED,H-2B,MA,1-Apr-10,6-Dec-10,BARTLETT'S OCEAN VIEW FARM,33 BARTLETT FARM ROAD,,NANTUCKET,MA,02554,JANE NICHOLS BISHOP,WEST DENNIS,MA,279.357-054,"SALESPERSON, GENERAL MERCHANDISE",4,4,9.42,HR,9.42,HR
C-09355-47785,24-Dec-09,17-Dec-09,CERTIFIED,H-2B,MA,1-Apr-10,6-Dec-10,BARTLETT'S OCEAN VIEW FARM,33 BARTLETT FARM ROAD,,NANTUCKET,MA,02554,"JANE NICHOLS BISHOP, PEAK SEASON WORKFORCE",WEST DENNIS,MA,313.374-014,"COOK, SHORT ORDER",4,4,8.65,HR,8.65,HR
C-09356-47930,28-Dec-09,18-Dec-09,CERTIFIED,H-2B,MA,1-Apr-10,15-Dec-10,EVEN KEEL CAFE,40 MAIN STREET,,NANTUCKET,MA,02554,"DANIEL REISNER / INTEREXCHANGE, INC.",NEW YORK,NY,313.361-022,"COOK, SHORT ORDER 1",12,12,11.4,HR,11.44,HR
C-09363-48273,4-Jan-10,28-Dec-09,CERTIFIED,H-2B,MA,1-Apr-10,14-Dec-10,"NANTUCKET PERIWINKLE, INC. DBA PERIWINKLE INN, SCA",P.O. BOX 1816,,NANTUCKET,MA,02554,"JANE NICHOLS BISHOP, PEAK SEASON WORKFORCE,",WEST DENNIS,MA,321.137-010,HOUSEKEEPER,2,2,8.82,HR,8.82,HR
C-09365-48401,12-Jan-10,30-Dec-09,CERTIFIED,H-2B,MA,15-Apr-10,8-Dec-10,THE BROTHERHOOD OF THIEVES RESTAURANT MANAGEMENT G,PO BOX 388,,NANTUCKET,MA,02554,"JANE NICHOLS BISHOP, PEAK SEASON WORKFORCE",WEST DENNIS,MA,313.361-014,COOK,14,14,11.44,HR,11.44,HR
C-10004-48426,12-Jan-10,31-Dec-09,CERTIFIED,H-2B,MA,15-Apr-10,30-Nov-10,BRASS LANTERN LLC D/B/A BRASS LANTERN INN,11 NORTH WATER STREET,,NANTUCKET,MA,02554,"JANE NICHOLS BISHOP, PEAK SEASON WORKFORCE,",WEST DENNIS,MA,323.687-014,"CLEANER, HOUSEKEEPING",4,4,8.82,HR,8.82,HR
C-10004-48449,13-Jan-10,31-Dec-09,CERTIFIED,H-2B,MA,15-Apr-10,31-Oct-10,SHERBURNE INN LLC,10 GAY STREET,,NANTUCKET,MA,02554,"JANE NICHOLS BISHOP, PEAK SEASON WORKFORCE",WEST DENNIS,MA,321.137-010,HOUSEKEEPER,2,2,,,,
C-10013-48694,15-Jan-10,12-Jan-10,CERTIFIED,H-2B,MA,20-Apr-10,1-Nov-10,"P & M REIS TRUCKING, INC.",P.O. BOX 113,,NANTUCKET,MA,02554,JANE NICHOLS BISHOP,WEST DENNIS,MA,955.687-022,GARBAGE COLLECTOR,14,14,14.27,HR,14.27,HR
C-09364-48341,21-Jan-10,29-Dec-09,CERTIFIED,H-2B,MA,1-Apr-10,15-Dec-10,"ISLAND CONCRETE FORM, LLC",13 BAYBERRY LANE,,NANTUCKET,MA,02554,MARK CARCHIDI,YARMOUTH  PORT,MA,869.664-014,CONSTRUCTION WORKER I,5,5,13.51,HR,13.51,HR
C-10012-48689,25-Jan-10,12-Jan-10,CERTIFIED,H-2B,MA,1-Apr-10,30-Nov-10,"G & M LANDSCAPE SERVICES, LLC",53 DUKES ROAD,,NANTUCKET,MA,02554,JANE NICHOLS BISHOP,WEST DENNIS,MA,408.687-014,"LABORER, LANDSCAPE",6,6,,,,
C-10020-48893,26-Jan-10,20-Jan-10,CERTIFIED,H-2B,MA,23-Apr-10,19-Oct-10,MIDISH CORP. DBA THE TAVERN,PO BOX 388,2 HARBOR SQUARE,NANTUCKET,MA,02554,JANE N. BISHOP,WEST DENNIS,MA,313.361-014,COOK,14,14,11.44,HR,11.44,HR
C-10020-48894,26-Jan-10,20-Jan-10,CERTIFIED,H-2B,MA,1-May-10,10-Oct-10,"HOLDGATES ISLAND LAUNDRY, INC.",4 VESPER LN.,P.O. BOX 869,NANTUCKET,MA,02554,JANE N. BISHOP,WEST DENNIS,MA,361.684-014,LAUNDRY WORKER I,8,8,10.83,HR,10.83,HR
C-10021-48946,27-Jan-10,21-Jan-10,CERTIFIED,H-2B,MA,1-May-10,20-Oct-10,ISLAND GOURMET CORP. DBA CLUB CAR,1 MAIN STREET,,NANTUCKET,MA,02554,DANIEL REISNER,NEW YORK,NY,318.687-010,KITCHEN HELPER,3,3,8.58,HR,8.58,HR
C-10014-48762,28-Jan-10,13-Jan-10,PARTIAL CERTIFIED,H-2B,MA,1-Apr-10,15-Dec-10,NANTUCKET ISLAND RESORTS,10 AMELIA DRIVE,P.O. BOX 1139,NANTUCKET,MA,02554,MARK D. CARCHIDI,YARMOUTH PORT,MA,238.367-038,HOTEL CLERK,40,38,12.32,HR,12.32,HR
C-10014-48755,28-Jan-10,13-Jan-10,CERTIFIED,H-2B,MA,1-Apr-10,15-Dec-10,NANTUCKET ISLAND RESORTS,10 AMELIA DRIVE,P.O. BOX 1139,NANTUCKET,MA,02554,"MARK D. CARCHIDI / ANTIOCH ASSOCIATES USA II, INC.",YARMOUTH PORT,MA,350.677-030,WAITER/WAITRESS,40,40,11.95,HR,11.95,HR
C-10014-48753,28-Jan-10,13-Jan-10,CERTIFIED,H-2B,MA,1-Apr-10,15-Dec-10,NANTUCKET ISLAND RESORTS,10 AMELIA DRIVE,P.O. BOX 1139,NANTUCKET,MA,02554,"MARK D. CARCHIDI / ANTIOCH ASSOCIATES USA II, INC.",YARMOUTH PORT,MA,319.484-010,"FOOD ASSEMBLER, KITCHEN",45,45,8.65,HR,8.65,HR
C-10014-48754,28-Jan-10,13-Jan-10,CERTIFIED,H-2B,MA,1-Apr-10,15-Dec-10,NANTUCKET ISLAND RESORTS,10 AMELIA DRIVE,P.O. BOX 1139,NANTUCKET,MA,02554,"MARK D. CARCHIDI / ANTIOCH ASSOCIATES USA II, INC.",YARMOUTH PORT,MA,361.684-014,LAUNDRY WORKER I,10,10,10.83,HR,10.83,HR
C-10014-48761,28-Jan-10,13-Jan-10,CERTIFIED,H-2B,MA,1-Apr-10,15-Dec-10,NANTUCKET ISLAND RESORTS,10 AMELIA DRIVE,P.O. BOX 1139,NANTUCKET,MA,02554,"MARK CARCHIDI / ANTIOCH ASSOCIATES USA II, INC",YARMOUTH PORT,MA,321.137-010,HOUSEKEEPER,70,70,,,,
C-10014-48758,1-Feb-10,13-Jan-10,CERTIFIED,H-2B,MA,1-Apr-10,15-Dec-10,NANTUCKET ISLAND RESORTS,10 AMELIA DRIVE,P.O. BOX 1139,NANTUCKET,MA,02554,"MARK D. CARCHIDI / ANTIOCH ASSOCIATES USA II, INC.",YARMOUTH PORT,MA,408.687-014,"LABORER, LANDSCAPE",8,8,13.24,HR,13.24,HR
C-10027-49082,2-Feb-10,27-Jan-10,CERTIFIED,H-2B,MA,10-May-10,5-Nov-10,FINCH GROUP HOTELS AND RESORTS DBA NANTUCKET INN,1 MILLER'S LANE,,NANTUCKET,MA,02554,,,,311.677-018,DINING ROOM ATTENDANT,20,20,9.02,HR,9.02,HR
C-10014-48759,2-Feb-10,13-Jan-10,CERTIFIED,H-2B,MA,1-Apr-10,15-Dec-10,NANTUCKET ISLAND RESORTS,10 AMELIA DRIVE,P.O. BOX 1139,NANTUCKET,MA,02554,"MARK D. CARCHIDI / ANTIOCH ASSOCIATES USA II, INC.",YARMOUTH PORT,MA,324.677-010,BELLHOP,20,20,8.49,HR,8.49,HR
C-10004-48421,3-Feb-10,31-Dec-09,DENIED,H-2B,MA,1-Apr-10,15-Dec-10,WIGGINS PAINTING CO.,4&1/2 MACY'S LANE,,NANTUCKET,MA,02554,PATRICIA WARREN,TUNBRIDGE,VT,735.687-018,PAINTER,15,0,11.72,HR,11.72,HR
C-10021-48926,4-Feb-10,21-Jan-10,CERTIFIED,H-2B,MA,1-May-10,1-Oct-10,BARTLETT'S OCEAN VIEW FARM,33 BARTLETT FARM ROAD,,NANTUCKET,MA,02554,JANE NICHOLS BISHOP,WEST DENNIS,MA,313.374-014,"COOK, SHORT ORDER",4,4,,,,
C-10032-49145,5-Feb-10,1-Feb-10,CERTIFIED,H-2B,MA,15-Apr-10,10-Dec-10,TWENTY FOUR BROAD STREET INC. DBA LE LANGUEDOC,24 BROAD STREET,P.O. BOX 1829,NANTUCKET,MA,02554,JANE NICHOLS BISHOP,WEST DENNIS,MA,323.687-014,"CLEANER, HOUSEKEEPING",3,3,,,,
C-10032-49147,5-Feb-10,1-Feb-10,CERTIFIED,H-2B,MA,15-Apr-10,10-Dec-10,TWENTY FOUR BROAD STREET INC. DBA LE LANGUEDOC,24 BROAD STREET,P.O. BOX 1829,NANTUCKET,MA,02554,JANE NICHOLS BISHOP,WEST DENNIS,MA,318.687-010,KITCHEN HELPER,5,5,,,,
C-10034-49184,9-Feb-10,3-Feb-10,CERTIFIED,H-2B,MA,15-May-10,15-Oct-10,CENTER STREET ACKQUISITION LLC DBA ROBERTS HOUSE I,11 INDIA STREET,,NANTUCKET,MA,02554,JANE NICHOLS BISHOP,WEST DENNIS,MA,323.687-014,"CLEANER, HOUSEKEEPING",3,3,8.82,HR,8.82,HR
C-10021-48945,9-Feb-10,21-Jan-10,CERTIFIED,H-2B,MA,1-May-10,20-Oct-10,ISLAND GOURMET CORP. DBA CLUB CAR,1 MAIN STREET,,NANTUCKET,MA,02554,DANIEL REISNER,NEW YORK,NY,313.361-014,COOK,4,4,11.44,HR,11.44,HR
C-10022-48980,9-Feb-10,22-Jan-10,CERTIFIED,H-2B,MA,1-May-10,20-Oct-10,"ROPEWALK, INC. DBA ROPEWALK",1 STRAIGHT WHARF,,NANTUCKET,MA,02554,"DANIEL REISNER / INTEREXCHANGE, INC.",NEW YORK,NY,318.687-010,KITCHEN HELPER,4,4,8.65,HR,8.65,HR
C-10022-48979,9-Feb-10,22-Jan-10,CERTIFIED,H-2B,MA,1-May-10,20-Oct-10,"ROPEWALK, INC. DBA ROPEWALK",1 STRAIGHT WHARF,,NANTUCKET,MA,02554,"DANIEL REISNER / INTEREXCHANGE, INC.",NEW YORK,NY,311.677-018,DINING ROOM ATTENDANT,6,6,9.02,HR,9.02,HR
C-10022-48981,9-Feb-10,22-Jan-10,CERTIFIED,H-2B,MA,1-May-10,20-Oct-10,"ROPEWALK, INC.",1 STRAIGHT WHARF,,NANTUCKET,MA,02554,"DANIEL REISNER / INTEREXCHANGE, INC.",NEW YORK,NY,318.687-010,KITCHEN HELPER,4,4,8.58,HR,8.58,HR
C-10022-48989,10-Feb-10,22-Jan-10,CERTIFIED,H-2B,MA,1-May-10,20-Oct-10,"ROPEWALK, INC. DBA ROPEWALK",1 STRAIGHT WARF,,NANTUCKET,MA,02554,"DANIEL REISNER / INTEREXCHANGE, INC.",NEW YORK,NY,305.281-010,COOK,7,7,11.44,HR,11.44,HR
C-10027-49065,12-Feb-10,27-Jan-10,CERTIFIED,H-2B,MA,1-May-10,31-Dec-10,BUTNELL PACKAGE INC. DBA HATCH'S PACKAGE STORE,133 ORANGE STREET,,NANTUCKET,MA,02554,MARK D.  CARCHIDI,YARMOUTH  PORT,MA,222.387-058,STOCK CLERK,2,2,,,,
C-10048-49364,22-Feb-10,17-Feb-10,CERTIFIED,H-2B,MA,10-May-10,5-Nov-10,FINCH GROUP HOTELS  D/B/A NANTUCKET INN,1 MILLER'S LANE,,NANTUCKET,MA,02554,,,,321.137-010,HOUSEKEEPER,25,25,8.82,HR,8.82,HR
C-10049-49379,22-Feb-10,18-Feb-10,CERTIFIED,H-2B,MA,19-Apr-10,3-Nov-10,VERANDA HOUSE INN LLC,3 STEP LANE,,NANTUCKET,MA,02554,JANE NICHOLS BISHOP,WEST DENNIS,MA,321.137-010,HOUSEKEEPER,6,6,8.82,HR,8.82,HR
