CASE_NO,DECISION_DATE,NPC_SUBMITTED_DATE,CASE_STATUS,ALIEN_WORK_STATE,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_ADDRESS,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,NBR_WORKERS_CERTIFIED,PREVAILING_WAGE,PW_UNIT_OF_PAY,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY
C-08182-37742,10/6/08,6/30/08,DENIED,NJ,10/1/08,1/31/09,"LMD 4 FLORIDA, INC.","8501 BASH ST., STE 1100",,INDIANAPOLIS,IN,46250,"BRANISLAV HRUZ, ESQ.",1900 SUPERIOR AVE.,CLEVELAND,OH,"SALESPERSON, COSMETICS AND TOILETRIES",0,,,,
C-08184-37800,10/6/08,6/30/08,DENIED,NJ,10/1/08,1/31/09,"LMD 4 FLORIDA, INC.","8501 BASH ST., STE 1100",,INDIANAPOLIS,IN,46250,"BRANISLAV HRUZ, ESQ.",1900 SUPERIOR AVE.,CLEVELAND,OH,"SALESPERSON, COSMETICS AND TOILETRIES",0,7.53,HR,7.53,HR
C-08184-37830,10/6/08,7/2/08,DENIED,CO,10/1/08,1/31/09,SMS MARKETING INC.,3100 S. SHERIDAN BLVD UNIT 1C-325,,DENVER,CO,80227,"BRANISLAV HRUZ, ESQ.",1900 SUPERIOR AVE.,CLEVELAND,OH,"SALESPERSON, COSMETICS AND TOILETRIES",0,7.24,HR,7.24,HR
C-08189-37903,10/21/08,7/7/08,DENIED,WA,10/1/08,1/31/09,"PLOLA, LLC",7812 30 ST. W,,UNIVERSITY PLACE,WA,98446,"BRANISLAV HRUZ, ESQ.",1900 SUPERIOR AVE.,CLEVELAND,OH,"SALESPERSON, COSMETICS AND TOILETRIES",0,9.08,HR,9.08,HR
C-08189-37914,10/6/08,7/7/08,DENIED,CA,10/1/08,1/31/09,"EROS USA, LLC",7558 MELROSE AVE.,,LOS ANGELES,CA,90046,"BRANISLAV HRUZ, ESQ.",1900 SUPERIOR AVE.,CLEVELAND,OH,"SALESPERSON, COSMETICS AND TOILETRIES",0,7.7,HR,7.7,HR
C-08189-37920,10/9/08,7/7/08,DENIED,HI,10/1/08,1/31/09,"OGL INTERNATIONAL, LLC","1188 BISHOP ST., SUITE 1001",,HONOLULU,HI,96813,"BRANISLAV HRUZ, ESQ.",1900 SUPERIOR AVE.,CLEVELAND,OH,"SALESPERSON, COSMETICS AND TOILETRIES",0,7.61,HR,7.61,HR
C-08189-37935,10/3/08,7/7/08,DENIED,CO,10/1/08,1/31/09,"BARKEI, LLC",9959 E PEAKVIEW AVENUE # F208,,ENGLEWOOD,CO,80111,SVETLANA SCHREIBER,1370 ONTARIO ST.,CLEVELAND,OH,SALES CLERK,0,7.59,HR,7.59,HR
C-08189-37937,10/7/08,7/7/08,DENIED,VA,9/1/08,8/31/09,ROBERT JOSEPH SCAVOTTO,6147 CASTLETOWN WAY,,ALEXANDRIA,VA,22310,,,,,CHILD MONITOR,0,10.93,HR,10.93,HR
C-08189-37951,10/2/08,7/7/08,DENIED,NV,10/1/08,1/31/09,"R.S.T., INC.","5125 W. OQUENDO ST., UNIT # 3",,LAS VEGAS,NV,89118,"BRANISLAV HRUZ, ESQ.",1900 SUPERIOR AVE.,CLEVELAND,OH,SALES CLERK,0,7.45,HR,7.45,HR
C-08191-38058,10/14/08,7/8/08,DENIED,LA,10/1/08,7/31/09,"RECTEC, LLC",51091 HWY. 443,,LORANGER,LA,70446,"NORMA LINDA VEGA, ORANGE GENERAL COMPANY",1516 E. TROPICANA AVE. SUITE 275,LAS VEGAS,NV,ARC CUTTER,0,10.04,HR,10.04,HR
C-08191-38065,10/2/08,7/9/08,DENIED,LA,10/1/08,7/31/09,MAXUM INDUSTRIES LLC -LA,941-A S. LEWIS ST.,,NEW IBERIA,LA,70560,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA,2901 BUCKS BAYOU ROAD,BAY CITY,TX,WELDER FITTER,0,12.84,HR,14.13,HR
C-08191-38090,10/6/08,7/9/08,DENIED,TX,10/1/08,7/31/09,"DE-VAL CONSTRUCTION, LTD D/B/A A.D. WELDING COMPAN",7620 VICTORIA CT. STE. 4,,BROWNSVILLE,TX,78521,PRO SERVICES / BELINDA RODRIGUEZ,"6326 SOVEREIGN,",SAN ANTONIO,TX,WELDER FITTER,0,8.51,HR,8.51,HR
C-08191-38092,10/7/08,7/9/08,DENIED,TX,10/1/08,7/31/09,"DE-VAL CONSTRUCTION, LTD D/B/A A.D. WELDING COMPAN",7620 VICTORIA CT. STE. 4,,BROWNSVILLE,TX,78521,PRO SERVICES / BELINDA RODRIGUEZ,"6326 SOVEREIGN,",SAN ANTONIO,TX,FITTER,0,10.19,HR,10.19,HR
C-08192-38137,10/10/08,7/10/08,DENIED,UT,10/10/08,8/10/09,ELI DEVELOPMENT,86 NORTH UNIVERSITY AVENUE,,PROVO,UT,84601,BARBARA V. MELENDEZ,KIRTON & MCCONKIE,SALT LAKE CITY,UT,"LABORER, LANDSCAPE",0,7.23,HR,7.23,HR
C-08193-38199,10/7/08,7/11/08,DENIED,FL,10/15/07,8/15/09,TANKA RESORT MANAGEMENT,"866 MASON AVE, SUITE 5",,DAYTONA  BEACH,FL,32117,,,,,HOUSEKEEPER,0,6.94,HR,7,HR
C-08193-38201,10/1/08,7/11/08,DENIED,AL,10/1/08,7/31/09,EAGLE MARINE SERVICES,8906 IRVINGTON BLB. HWY.,,IRVINGTON,AL,36544,JEFFREY B. COHEN/ATTORNEY AT LAW,11351 QUINLEY ROAD,BAY MINETTE,AL,WELDER FITTER,0,17.65,HR,18,HR
C-08193-38202,10/3/08,7/11/08,DENIED,AL,10/1/08,7/31/09,EAGLE MARINE SERVICES,8906 IRVINGTON BLB. HWY.,,IRVINGTON,AL,36544,JEFFREY B. COHEN/ATTORNEY AT LAW,11351 QUINLEY ROAD,BAY MINETTE,AL,"WELDER, COMBINATION",0,17.65,HR,18,HR
C-08193-38212,10/3/08,7/11/08,DENIED,NV,10/1/08,1/31/09,"LMD 4 FLORIDA, INC.","8501 BASH ST., STE. 1100",,INDIANAPOLIS,IN,46250,"BRANISLAV HRUZ, ESQ.",1900 SUPERIOR AVE.,CLEVELAND,OH,SALES CLERK,0,7.45,HR,7.45,HR
C-08193-38221,10/21/08,7/11/08,DENIED,TX,10/1/08,8/1/09,"CPEP, INC.",665 EDGEWATER,,SAN BENITO,TX,78586,KELLY M. KOWIS,"THE KOWIS LAW FIRM, P.C.",HOUSTON,TX,WELDER FITTER,0,10.6,HR,10.6,HR
C-08193-38228,11/12/08,7/11/08,DENIED,MD,10/1/08,1/31/09,"JNS GLOBAL, INC.",4478 OAKDALE CRESENT CT,#524,FAIRFAX,VA,22030,"BRANISLAV HRUZ, ESQ.",1900 SUPERIOR AVE.,CLEVELAND,OH,"SALESPERSON, COSMETICS AND TOILETRIES",0,7.48,HR,7.18,HR
C-08193-38232,10/14/08,7/11/08,DENIED,LA,10/1/08,8/1/09,"BAYOU LABOR CREWS, LLC.",1116 MOBILE STREET,,LAKE CHARLES,LA,70605,"THOMPSON LEGAL SERVICES, PC.","11934 COURSEY BLVD., SUITE C",BATON ROUGE,LA,"LABORER, CONSTRUCTION OR LEAK GANG",0,8.04,HR,8.04,HR
C-08193-38233,10/30/08,7/11/08,DENIED,LA,10/1/08,8/1/09,"A-TEAM CONNECTION, LLC",17555 S. HARRELLS FERRY RD.,,BATON ROUGE,LA,70816,,,,,"LABORER, CONSTRUCTION OR LEAK GANG",0,8.57,HR,13.06,HR
C-08196-38254,10/29/08,7/11/08,DENIED,TX,10/1/08,9/30/09,"RODRILL, INC.",11670 IH 10 EAST,,CONVERSE,TX,78109,DUSTIN J. O'QUINN,"DEMOTT, MCCHESNEY,CURTRIGHT AND ASSOCIATES,L.L.P.",SAN ANTONIO,TX,WELDER FITTER,0,14.96,HR,15,HR
C-08196-38262,10/24/08,7/14/08,DENIED,CA,10/1/08,1/31/09,RENAISSANCE SALES ASSOCIATES INC.,1911 SAN GABRIEL AVE,,CLOVIS,CA,93611,"BRANISLAV HRUZ, ESQ.",1900 SUPERIOR AVE.,CLEVELAND,OH,SALES CLERK,0,8,HR,7.85,HR
C-08196-38285,10/27/08,7/14/08,DENIED,FL,10/1/08,7/30/09,MB REDEVELOPMENT DBA LOEWS MIAMI BEACH HOTEL,1601 COLLINS AVENUE,,MIAMI BEACH,FL,33139,MALCOLM SEHEULT,15210 WATERLINE ROAD,BRADENTON,FL,KITCHEN HELPER,0,6.75,HR,8.6,HR
C-08196-38300,10/14/08,7/14/08,CERTIFIED,FL,10/1/08,7/30/09,"THE RITZ-CARLTON GOLF CLUB AND SPA, JUPITER",115 EAGLE TREE TERRACE,,JUPITER,FL,33477,MALCOLM SEHEULT,15210 WATERLINE ROAD,BRADENTON,FL,HOTEL CLERK,6,8.95,HR,10.66,HR
C-08196-38315,11/10/08,7/14/08,DENIED,FL,10/1/08,7/30/09,MB REDEVELOPMENT DBA LOEW'S MIAMI BEACH HOTEL,1601 COLLINS AVENUE,,MIAMI BEACH,FL,33139,MALCOLM SEHEULT,15210 WATERLINE ROAD,BRADENTON,FL,"WAITER/WAITRESS, INFORMAL",0,8.17,HR,7.5,HR
C-08196-38322,10/23/08,7/14/08,DENIED,FL,10/1/08,7/30/09,JV ASSOCIATES DBA FOUR SEASONS RESORT PALM BEACH,2800 SOUTH OCEAN BLVD,,PALM BEACH,FL,33480,MALCOLM SEHEULT,15210 WATERLINE ROAD,BRADENTON,FL,COOK,0,8.6,HR,10.7,HR
C-08196-38326,10/24/08,7/14/08,DENIED,FL,10/1/08,7/30/09,JV ASSOCIATES DBA FOUR SEASONS RESORT PALM BEACH,2800 SOUTH OCEAN BLVD,,PALM BEACH,FL,33480,MALCOLM SEHEULT,15210 WATERLINE ROAD,BRADENTON,FL,HOUSECLEANER,0,7.02,HR,9.1,HR
C-08196-38328,10/6/08,7/11/08,DENIED,LA,10/11/08,8/10/09,"ORIGINAL USA GENERAL LABOR, LLC",5437 W. PARK AVE #2,,HOUMA,LA,70364,,,,LA,WELDER FITTER,0,17.69,HR,19,HR
C-08196-38333,10/27/08,7/14/08,DENIED,FL,10/1/08,7/30/09,"THE RITZ CARLTON, PALM BEACH",100 SOUTH OCEAN BLVD,,MANALAPAN,FL,33462,MALCOLM SEHEULT,15210 WATERLINE ROAD,BRADENTON,FL,HOTEL CLERK,0,7.97,HR,12.99,HR
C-08196-38347,10/7/08,7/14/08,DENIED,TX,10/1/08,7/31/09,MAXUM INDUSTRIES LLC - TX,602-C PELICAN ISLAND PKWY,,GALVESTON,TX,77554,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA (FE,2901 BUCKS BAYOU RD.,BAY CITY,TX,WELDER FITTER,0,11.32,HR,11.32,HR
C-08196-38353,10/1/08,7/14/08,DENIED,TX,10/1/08,7/31/09,"OUTSOURCING USA, INC.","4900 WOODWAY DRIVE, SUITE 1225",,HOUSTON,TX,77056,KELLY D. COBB,"QUAN, BURDETTE & PEREZ, P.C.",HOUSTON,TX,PIPE FITTER,0,16.32,HR,16.32,HR
C-08196-38363,10/8/08,7/14/08,DENIED,LA,10/1/08,7/31/09,"J & M MARINE & INDUSTRIAL, LLC.","2733 SCILLINGER ROAD SOUTH,","(PO BOX 851957/MOBILE, AL. 36685-1957)",MOBILE,AL,36695,"RAM M CHEERATH, ESQUIRE","147 WEST 35TH STREET, SUITE 411",NEW YORK,NY,WELDER FITTER,0,,,,
C-08196-38365,11/3/08,7/14/08,CERTIFIED,CO,9/1/08,4/30/09,"THE RITZ-CARLTON, BACHELOR GULCH",0130 DAYBREAK RIDGE,,AVON,CO,81620,"DIANE HOLLOWAY, DHI LLC",7802 KINGSPOINTE PKWY,ORLANDO,FL,HOTEL CLERK,10,12.88,HR,13.64,HR
C-08196-38369,10/27/08,7/14/08,DENIED,FL,10/1/08,7/30/09,GHM KEY WEST SS LLC DBA SHERATON SUITES KEY WEST,2001 SOUTH ROOSEVELT BLVD,,KEY WEST,FL,33040,MALCOLM SEHEULT,15210 WATERLINE ROAD,BRADENTON,FL,"WAITER/WAITRESS, INFORMAL",0,6.72,HR,7.5,HR
C-08196-38372,10/27/08,7/14/08,DENIED,FL,10/1/08,7/30/09,GHM KEY WEST SS LLC DBA SHERATON SUITES KEY WEST,2001 SOUTH ROOSEVELT BLVD,,KEY WEST,FL,33040,MALCOLM SEHEULT,15210 WATERLINE ROAD,BRADENTON,FL,HOUSEKEEPER,0,7.85,HR,9.5,HR
C-08196-38373,10/27/08,7/14/08,DENIED,FL,10/1/08,7/30/09,GHM KEY WEST SS LLC DBA SHERATON SUITES KEY WEST,2001 SOUTH ROOSEVELT BLVD,,KEY WEST,FL,33040,MALCOLM SEHEULT,15210 WATERLINE ROAD,BRADENTON,FL,HOTEL CLERK,0,9.69,HR,11,HR
C-08196-38376,10/8/08,7/14/08,DENIED,LA,10/1/08,7/31/09,"J & M MARINE & INDUSTRIAL, LLC.","2733 SCHILLINGER ROAD SOUTH,","(PO BOX 851957/MOBILE, AL. 36685-1957)",MOBILE,AL,36695,"RAM M CHEERATH, ESQUIRE","147 WEST 35TH STREET, SUITE 411",NEW YORK,NY,WELDER FITTER,0,15.08,HR,15.51,HR
C-08196-38393,10/8/08,7/14/08,DENIED,LA,10/1/08,7/31/09,C & F FABRICATORS,12125 SOUTH PALMER,,PORT ALLEN,LA,70767,USA WORKS...FOR YOU (BECKY DASHER),500 OCEAN POND ROAD,LAKE PARK,GA,"WELDER, COMBINATION",0,13.25,HR,13.25,HR
C-08196-38395,10/3/08,7/14/08,DENIED,LA,10/1/08,7/31/09,EAGLE MARINE SERVICES,8906 IRVINGTON BLB. HWY.,,IRVINGTON,AL,36544,JEFFREY COHEN ATTORNEY AT LAW,"11351 QUINLEY ROAD,",BAY MINETTE,AL,WELDER FITTER,0,17.77,HR,18,HR
C-08196-38403,10/24/08,7/14/08,DENIED,DE,10/1/08,3/15/09,"FRANCIS ENTERPRISES, INC",3665 EAST BAY DR.,#204-206,LARGO,FL,33771,SVETLANA SCHREIBER,1370 ONTARIO ST.,CLEVELAND,OH,SALES CLERK,0,7.36,HR,7.36,HR
C-08196-38405,10/28/08,7/14/08,DENIED,TX,9/1/08,6/30/09,"THE RITZ-CARLTON, DALLAS",2121 MCKINNEY AVENUE,,DALLAS,TX,75201,MALCOLM SEHEULT,15210 WATERLINE ROAD,BRADENTON,FL,"CLEANER, HOUSEKEEPING",0,6.47,HR,8.25,HR
C-08196-38406,10/27/08,7/14/08,DENIED,CT,10/1/08,9/30/09,REMEDIOS GATCHALIAN,60 GREENFIELD ROAD,,STAMFORD,CT,06906,"TEPLEN & ASSOCIATES, PLLC",350 FIFTH AVENUE,NEW YORK,NY,HOME HEALTH TECHNICIAN,0,11.13,HR,12,HR
C-08197-38410,10/1/08,7/14/08,DENIED,TX,10/1/08,7/31/09,"OUTSOURCING USA, INC.","4900 WOODWAY DRIVE, SUITE 1225",,HOUSTON,TX,77056,KELLY D. COBB,"QUAN, BURDETTE & PEREZ, P.C.",HOUSTON,TX,WELDER FITTER,0,16.3,HR,18.23,HR
C-08197-38429,10/24/08,7/11/08,DENIED,LA,10/1/08,6/30/09,GLOBAL TURNAROUND SERVICES,101 C 1 OLD UNDERWOOD ROAD,,LA PORTE,TX,77571,MARGARET MACGREGOR,BERRY APPLEMAN & LEIDEN LLP,DALLAS,TX,"WELDER, COMBINATION",0,21.95,HR,19.18,HR
C-08197-38448,10/23/08,7/15/08,DENIED,TX,10/1/08,5/15/09,J.L. CRUZ BOATS,P.O. BOX 471,,PORT LAVACA,TX,77979,CONNIE L. CHAVEZ -- CLC LABOR SERVICES,24885 FM 1847,RIO HONDO,TX,"DECKHAND, FISHING VESSEL",0,8.43,HR,8.43,HR
C-08197-38449,10/24/08,7/14/08,DENIED,FL,10/1/08,7/30/09,JV ASSOCIATES DBA FOUR SEASONS RESORT PALM BEACH,2800 SOUTH OCEAN BLVD,,PALM BEACH,FL,33480,MALCOLM SEHEULT,15210 WATERLINE ROAD,BRADENTON,FL,KITCHEN HELPER,0,6.92,HR,8.85,HR
C-08197-38455,10/24/08,7/15/08,DENIED,FL,10/1/08,7/30/09,FLORIDA CONRAD INTERNATIONAL CORP DBA CONRAD MIAMI,1395 BRICKELL AVENUE,,MIAMI,FL,33131,MALCOLM SEHEULT,15210 WATERLINE ROAD,BRADENTON,FL,HOTEL CLERK,0,7.76,HR,11,HR
C-08197-38460,10/9/08,7/15/08,DENIED,TX,10/1/08,8/1/09,MILLMAC CORPORATION,"3700 NW 124TH AVENUE, SUITE 102",,CORAL SPRINGS,FL,33065,"IMMIGRATION LAW GROUP, LLC., JAMES O'KEEFE",57 EXCHANGE STREET,PORTLAND,ME,"WELDER, COMBINATION",0,11.32,HR,11.32,HR
C-08197-38462,10/29/08,7/15/08,DENIED,GA,10/1/08,9/30/09,"PIC ENERGY SERVICES, INC.",1165 NORTHCHASE PARKWAY,4TH FLOOR,MARIETTA,GA,30067,"HON-VINH DOUNG, ESQ.",TROUTMAN SANDERS LLP,ATLANTA,GA,WELDER FITTER,0,16.21,HR,16.21,HR
C-08197-38465,10/24/08,7/15/08,DENIED,FL,10/1/08,7/30/09,FLORIDA CONRAD INTERNATIONAL CORP DBA CONRAD MIAMI,1395 BRICKELL AVENUE,,MIAMI,FL,33131,MALCOLM SEHEULT,15210 WATERLINE ROAD,BRADENTON,FL,COOK,0,8.42,HR,11,HR
C-08197-38467,10/24/08,7/15/08,DENIED,FL,10/1/08,7/30/09,FLORIDA CONRAD INTERNATIONAL CORP DBA CONRAD MIAMI,1395 BRICKELL AVENUE,,MIAMI,FL,33131,MALCOLM SEHEULT,15210 WATERLINE ROAD,BRADENTON,FL,WAITER/WAITRESS,0,6.84,HR,7.5,HR
C-08197-38470,10/24/08,7/15/08,DENIED,FL,10/1/08,7/30/09,FLORIDA CONRAD INTERNATIONAL CORP DBA CONRAD MIAMI,1395 BRICKELL AVENUE,,MIAMI,FL,33131,MALCOLM SEHEULT,15210 WATERLINE ROAD,BRADENTON,FL,KITCHEN HELPER,0,6.75,HR,9,HR
C-08197-38472,10/29/08,7/15/08,DENIED,GA,10/1/08,9/30/09,"PIC ENERGY SERVICES, INC.","1165 NORTHCHASE PARKWAY, 4TH FLOOR",,MARIETTA,GA,30067,"HON-VINH DUONG, ESQ.",TROUTMAN SANDERS LLP,ATLANTA,GA,BOILERMAKER I,0,24.01,HR,24.01,HR
