CASE_NUMBER,DECISION_DATE,NPC_SUBMITTED_DATE,CASE_STATUS,VISA_CLASS,ALIEN_WORK_STATE,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,SOC_CODE,SOC_NAME,JOB_TITLE,NBR_WORKERS_CERTIFIED,PREVIALING_WAGE,PW_UNIT_OF_PAY,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY
H-400-13029-866648,2/12/13,1/29/13,Certified,H-2B,SD,4/1/13,12/31/13,BEADLES FLORAL & NURSERY,906 S. 8TH STREET,N/A,ABERDEEN,SD,57401,KEVIN OPP,ABERDEEN,SD,37-3011,Landscaping and Groundskeeping Workers,LANDSCAPER,12,9.78,Hour,9.78,Hour
H-400-13029-829671,2/12/13,1/29/13,Partial Certified,H-2B,NC,3/1/13,11/30/13,The Byrd's Group,"7509 Grier Road, Charlotte NC  28213",P.O. Box 44130 Charlotte NC  28215,Charlotte,NC,28213,Elizabeth Whitley,LOVINGSTON,VA,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,30,8.05,Hour,8.05,Hour
H-400-13029-409420,2/12/13,1/29/13,Certified,H-2B,MO,3/15/13,12/1/13,Mariposa LLC,16091 Swingley Ridge Rd.,N/A,Chesterfield,MO,63017,RAMON CERVANTES,LEXINGTON,KY,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborers,6,8.78,Hour,8.78,Hour
H-400-13029-282008,2/12/13,1/29/13,Certified,H-2B,MA,5/1/13,10/10/13,THE NANTUCKET LOBSTER TRAP,P.O. BOX 454,23 WASHINGTON STREET,NANTUCKET,MA,02554,JANE BISHOP,MASHPEE,MA,35-9021,Dishwashers,KITCHEN HELPERS,5,9.24,Hour,9.24,Hour
H-400-13029-362674,2/12/13,1/29/13,Certified,H-2B,CT,2/15/13,11/15/13,UK International Soccer Camps,525 Amigos Drive,Suite 1,Redlands,CA,92373,Ralph Klopp,Cleveland,OH,27-2022,Coaches and Scouts,Soccer Coach,74,35,Hour,35,Hour
H-400-13029-130847,2/12/13,1/29/13,Certified,H-2B,AR,3/8/13,11/15/13,"PBJ HAPPEE DAY DAYS, INC",1096 I-55 2,N/A,MARION,AR,72364,JAMES JUDKINS,RIO HONDO,TX,39-3091,Amusement and Recreation Attendants,Amusement and Recreation Attendant,10,316,Week,316,Week
H-400-13029-269628,2/12/13,1/29/13,Certified,H-2B,ME,4/1/13,11/30/13,"LAFAYETTE WELLS, INC.",393 MILE ROAD,PO BOX 639,WELLS,ME,04090,JANE BISHOP,MASHPEE,MA,37-1011,First-Line Supervisors of Housekeeping and,HOUSEKEEPING SUPERVISORS,3,11.66,Hour,11.66,Hour
H-400-13029-701134,2/12/13,1/29/13,Certified,H-2B,TX,4/1/13,12/31/13,"C & C Mowing Contractors, Inc.",200 NW Second Street,,Kerens,TX,75144,Susan Littleton,Austin,TX,37-3011,Landscaping and Groundskeeping Workers,Landscaping and Groundskeeping Workers,25,8.15,Hour,8.15,Hour
H-400-12321-218085,2/13/13,1/30/13,Certified,H-2B,CO,3/1/13,11/30/13,Rocky Mountain Hardscapes LLP,2662 E 131st Ave,"Mailing: PO Box 1506, Eastlake, CO 80614",Thornton,CO,80241,APRIL MCKINNEY,BAY CITY,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,12,9.36,Hour,9.36,Hour
H-400-12339-444923,2/13/13,1/30/13,Certified,H-2B,MO,4/1/13,12/1/13,Munsch Outdoor Maintenance Co Inc,25 Beacon Hill Lane,"PO Box 460086, St. Louis, MO 63146-7086",Creve Coeur,MO,63141,BRANDI COWAN,BAY CITY,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,7,8.78,Hour,8.78,Hour
H-400-12341-590985,2/13/13,1/30/13,Certified,H-2B,ME,4/1/13,10/30/13,ADMIRAL'S INN LLC,87-95 MAIN ST.,P.O.Box 388,OGUNQUIT,ME,03907,TZVETELINA BOYNOVSKA,CHICAGO,IL,37-2012,Maids and Housekeeping Cleaners,housekeeper,10,10.54,Hour,10.54,Hour
H-400-12363-251905,2/13/13,1/30/13,Partial Certified,H-2B,KY,3/18/13,11/30/13,Mainscape Inc - KY,191 S. Beard Ave.,,Ft. Knox,KY,40121,RITA ROMERO,BAY CITY,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,11,8.06,Hour,8.06,Hour
H-400-13011-346626,2/13/13,1/30/13,Certified,H-2B,MA,4/1/13,12/15/13,"Cape Cod Restaurants, Inc.",311 Gifford Street,,Falmouth,MA,02540,MATTHEW LEE,BOSTON,MA,35-2021,Food Preparation Workers,Food Prep Workers,35,9.22,Hour,9.22,Hour
H-400-13011-816525,2/13/13,1/30/13,Partial Certified,H-2B,MA,4/1/13,12/15/13,"CAPE COD RESTAURANTS, INC.",311 GIFFORD STREET,,FALMOUTH,MA,02540,MATTHEW LEE,BOSTON,MA,35-3031,Waiters and Waitresses,Wait Staff,34,9.39,Hour,9.39,Hour
H-400-13011-967742,2/13/13,1/30/13,Certified,H-2B,MA,4/1/13,12/15/13,"CAPE COD RESTAURANTS, INC.",311 GIFFORD STREET,,FALMOUTH,MA,02540,MATTHEW LEE,BOSTON,MA,35-9021,Dishwashers,Dishwashers,15,8.66,Hour,8.66,Hour
H-400-13014-112601,2/13/13,1/30/13,Partial Certified,H-2B,MA,4/1/13,10/31/13,"DOCKSIDE HOTEL GROUP, INC.",476 MAIN STREET,,WEST YARMOUTH,MA,02673,MATTHEW LEE,BOSTON,MA,37-2012,Maids and Housekeeping Cleaners,Housekeeping Cleaners,15,9.24,Hour,9.24,Hour
H-400-13014-080765,2/13/13,1/30/13,Partial Certified,H-2B,MA,4/1/13,10/31/13,"DOCKSIDE HOTEL GROUP, INC.",476 MAIN STREET,,WEST YARMOUTH,MA,02673,MATTHEW LEE,BOSTON,MA,43-4081,"Hotel, Motel, and Resort Desk Clerks",Hotel/Motel Desk Clerks,7,9.66,Hour,9.66,Hour
H-400-13017-106232,2/13/13,1/30/13,Partial Certified,H-2B,VA,4/1/13,10/31/13,"W. R. Davenport, Jr.",1005 Poplar Neck Road,,White Stone,VA,22578,EVELYN WRIGHT,AMHERST,VA,53-7064,"Packers and Packagers, Hand",fish packers,8,7.79,Hour,7.79,Hour
H-400-13018-901549,2/13/13,1/30/13,Certified,H-2B,MA,4/15/13,12/15/13,"Fashion Food, LLC",66 Pondside Circle,N/A,Centerville,MA,02632,MARK CARCHIDI,YARMOUTH PORT,MA,35-3021,"Combined Food Preparation and Serving Workers,",Fast Food Workers,15,8.67,Hour,8.67,Hour
H-400-13022-413633,2/13/13,1/30/13,Certified,H-2B,SD,4/1/13,11/30/13,"Sutton Bay Golf, LLC",28950 Sutton Bay Trail,,Agar,SD,57520,GRACE KAN,FARMERS BRANCH,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer 1,16,9.78,Hour,9.78,Hour
H-400-13022-967403,2/13/13,1/30/13,Certified,H-2B,SD,4/15/13,11/30/13,"Sutton Bay Golf, LLC",28950 Sutton Bay Trail,,Agar,SD,57520,GRACE KAN,FARMERS BRANCH,TX,35-3021,"Combined Food Preparation and Serving Workers,",Food Service Worker,5,8.3,Hour,8.3,Hour
H-400-13023-410424,2/13/13,1/30/13,Certified,H-2B,MA,5/1/13,11/1/13,"Jerope, Inc.",3580 State Highway,,Eastham,MA,02642,KENDRA ELLIOTT,ENOLA,PA,35-9011,Dining Room and Cafeteria Attendants and Bartender,Patio Busser,4,8.68,Hour,8.68,Hour
H-400-13024-582424,2/13/13,1/30/13,Certified,H-2B,PA,4/1/13,12/1/13,Hine & Associates,3108 Ridge Pike,N/A,Eagleville,PA,19425,THOMAS ROBINSON,WELLINGTON,FL,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,4,9.22,Hour,9.22,Hour
H-400-13024-046650,2/13/13,1/30/13,Certified,H-2B,AK,5/10/13,11/17/13,"ARCTIC STORM, INC.","2727 ALASKAN WAY, PIER 69",,SEATTLE,WA,98121,JACQUELINE WOOD,BAINBRIDGE ISLAND,WA,51-3092,Food Batchmakers,Surimi/Roe Technician,2,22,Hour,22,Hour
H-400-13025-526625,2/13/13,1/30/13,Certified,H-2B,MA,5/1/13,10/15/13,Nantucket Golf Club,PO Box 313,250 Milestone Road,Siasconset,MA,02564,MARK CARCHIDI,YARMOUTH PORT,MA,35-3031,Waiters and Waitresses,Waistaff,6,9.99,Hour,9.99,Hour
H-400-13029-042746,2/13/13,1/30/13,Certified,H-2B,MI,4/1/13,11/30/13,Universal Cleaners LLC.,4530 Barnes Rd.,,Traverse City,MI,49684,CAROLINE MUELLER,TWINSBURG,OH,37-2011,"Janitors and Cleaners, Except Maids and",Janitor and Cleaner,5,10,Hour,10,Hour
H-400-13030-225261,2/13/13,1/30/13,Certified,H-2B,MD,4/15/13,11/15/13,Select Event Rentals,8610 Cherry Lane,Suite 30,Laurel,MD,20707,Nicole Ward,Coeur d'Alene,ID,39-3091,Amusement and Recreation Attendants,Recreation Equipment Storage Workers,13,8.06,Hour,8.06,Hour
H-400-13030-446986,2/13/13,1/30/13,Partial Certified,H-2B,NY,4/1/13,11/30/13,FAERY'S GOLF AND LANDSCAPE,3170 RIDGE RD,,RANSOMVILLE,NY,14131,,,,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,7,8.95,Hour,8.95,Hour
H-400-13030-331308,2/13/13,1/30/13,Certified,H-2B,KY,2/22/13,11/2/13,"CASEY'S RIDES, INC.",11044 US HWY 431,N/A,UTICA,KY,42376,JAMES JUDKINS,RIO HONDO,TX,39-3091,Amusement and Recreation Attendants,Amusement and Recreation Attendant,33,318.8,Week,318.8,Week
H-400-13030-863502,2/13/13,1/30/13,Certified,H-2B,NY,3/1/13,12/30/13,Montauk Manor,236 Edgemere Street,N/A,Montauk,NY,11954-5249,Mario DeMarco,Port Chester,NY,37-2012,Maids and Housekeeping Cleaners,Housekeeper,5,8.82,Hour,8.82,Hour
H-400-13030-812745,2/13/13,1/30/13,Certified,H-2B,MA,5/1/13,10/20/13,"CRU ACK, LLC",49 STRAIGHT WHARF,P.O. BOX 396,NANTUCKET,MA,02554,JANE BISHOP,MASHPEE,MA,35-2021,Food Preparation Workers,FOOD PREP WORKERS,9,11.52,Hour,11.52,Hour
H-400-13030-393380,2/13/13,1/30/13,Certified,H-2B,CA,3/1/13,11/1/13,Davis Enterprises,17010 Windflower Avenue,,Fontana,CA,92336,Sadiri Padre,Los Angeles,CA,39-3091,Amusement and Recreation Attendants,Amusement and Recreation Attendants-Travelling Car,40,341.6,Week,341.6,Week
H-400-13030-998705,2/13/13,1/30/13,Partial Certified,H-2B,GA,4/1/13,9/30/13,Austin Outdoors LLC - Atlanta,5000 Kristie Way,"Mailing: P.O. Box 849, Bunnell, FL 32110",Chamblee,GA,30341,Elizabeth Whitley,Lovingston,VA,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborers,37,9.25,Hour,9.25,Hour
H-400-12293-146332,2/14/13,2/1/13,Certified,H-2B,TN,3/1/13,12/31/13,Southern State Turf,92 S. Lincoln Rd,,Fayetteville,TN,37334,APRIL MCKINNEY,BAY CITY,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,10,9.12,Hour,9.12,Hour
H-400-12318-611998,2/14/13,1/31/13,Certified,H-2B,PA,3/14/13,12/20/13,Evergreen Landscaping Inc,325 Garrison Way,,Gulph Mills,PA,19428,BRANDI COWAN,BAY CITY,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,7,9.22,Hour,9.22,Hour
H-400-12348-216120,2/14/13,1/18/13,Certified,H-2B,TN,2/14/13,10/31/13,"Narnia Farm, Inc.",733 McCubbins Rd.,N/A,Knoxville,TN,37924,Craig McDougal,NORMAN,OK,39-2021,Nonfarm Animal Caretakers,Horse Groom,3,8.74,Hour,8.74,Hour
H-400-12354-938751,2/14/13,2/1/13,Certified,H-2B,MN,4/1/13,12/1/13,Southview Design Inc,1875 E 50th St,,Inver Grove Heights,MN,55077,RITA ROMERO,BAY CITY,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,25,9.63,Hour,9.63,Hour
H-400-12356-817619,2/14/13,12/21/12,Denied,H-2B,VA,3/15/13,12/15/13,The Davey Tree Expert Company,25255 Pleasant Valley Road,,Chantilly,VA,20153,FERNANDO SAENZ,MECHANICSVILLE,VA,37-3011,Landscaping and Groundskeeping Workers,LANDSCAPE LABORER,0,9.44,Hour,9.44,Hour
H-400-12362-064396,2/14/13,1/31/13,Certified,H-2B,TN,3/15/13,11/30/13,"Johnson Lawn & Landscape, Inc.",2318 Antioch Pk,,Antioch,TN,37013,LORI WHITTEN,WYLIE,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,16,9.12,Hour,9.12,Hour
H-400-13009-315625,2/14/13,1/31/13,Certified,H-2B,MA,4/1/13,11/17/13,"WEQUASSETT INN, LLP",ON PLEASANT BAY,ROUTE 28,CHATHAM,MA,02633,Matthew Lee,Boston,MA,35-2015,"Cooks, Short Order",Short Order Cooks,32,8.82,Hour,8.82,Hour
H-400-13010-439728,2/14/13,1/17/13,Denied,H-2B,NC,3/1/13,11/30/13,"Julie's CleaningServices, LLC","P. O. Box 1561, Nags Head, NC  27959 (mailing)",101 E. Helga St. (physical),Kill Devil Hills,NC,27948,EVELYN WRIGHT,AMHERST,VA,37-2011,"Janitors and Cleaners, Except Maids and",housekeepers,0,8.13,Hour,8.13,Hour
H-400-13011-841674,2/14/13,1/31/13,Certified,H-2B,MA,4/1/13,11/17/13,"WEQUASSETT INN, LLP",ON PLEASANT BAY,ROUTE 28,CHATHAM,MA,02633,Matthew Lee,Boston,MA,35-2014,"Cooks, Restaurant",Line Cooks,10,11.42,Hour,11.42,Hour
H-400-13011-555223,2/14/13,1/31/13,Certified,H-2B,MA,4/1/13,11/17/13,"WEQUASSETT INN, LLP",ON PLEASANT BAY,ROUTE 28,CHATHAM,MA,02633,Matthew Lee,Boston,MA,37-2012,Maids and Housekeeping Cleaners,Housekeepers,25,9.24,Hour,9.24,Hour
H-400-13011-372878,2/14/13,1/31/13,Certified,H-2B,MA,3/1/13,12/8/13,"WEQUASSETT INN, LLP",ON PLEASANT BAY,ROUTE 28,CHATHAM,MA,02633,Matthew Lee,Boston,MA,37-2012,Maids and Housekeeping Cleaners,Housekeepers,5,9.24,Hour,9.24,Hour
H-400-13013-244156,2/14/13,1/31/13,Partial Certified,H-2B,MA,4/1/13,11/17/13,"WEQUASSETT INN, LLP",ON PLEASANT BAY,ROUTE 28,CHATHAM,MA,02633,Matthew Lee,Boston,MA,35-3031,Waiters and Waitresses,Wait Staff,33,9.39,Hour,9.39,Hour
H-400-13013-069939,2/14/13,1/31/13,Partial Certified,H-2B,MA,4/1/13,11/17/13,"WEQUASSETT INN, LLP",ON PLEASANT BAY,ROUTE 28,CHATHAM,MA,02633,Matthew Lee,Boston,MA,35-9021,Dishwashers,Dishwashers,9,8.66,Hour,8.66,Hour
H-400-13015-019978,2/14/13,1/31/13,Certified,H-2B,MA,4/1/13,11/30/13,Cape Inn Corp.,PO Box 392,N/A,Provincetown,MA,02657,MARK CARCHIDI,YARMOUTH PORT,MA,37-2012,Maids and Housekeeping Cleaners,Housekeepers,12,9.91,Hour,9.91,Hour
H-400-13025-248074,2/14/13,2/1/13,Partial Certified,H-2B,NC,4/1/13,11/30/13,Northwest Landscaping of Burke County,360 Collins Road,,China Grove,NC,28023,Evelyn Wright,Amherst,VA,37-3011,Landscaping and Groundskeeping Workers,landscape laborers,24,8.39,Hour,8.39,Hour
H-400-13029-224198,2/14/13,1/30/13,Certified,H-2B,CA,4/17/13,11/30/13,"LUCKY 7 FOODS, INC.","9740 CAMPO RD, UNIT 113","[MAIL: PO BOX 7880, CITRUS HEIGHTS, CA 95621]",SACRAMENTO,CA,95842-0000,JAMES JUDKINS,RIO HONDO,TX,39-3091,Amusement and Recreation Attendants,Amusement and Recreation Attendant,12,8.51,Hour,8.51,Hour
H-400-13030-202479,2/14/13,1/31/13,Certified,H-2B,NY,4/1/13,12/15/13,"Gary Duff Designs, Inc.",487 Furrows Road Holbrook NY 11741,,Holbrook,NY,11741,Elizabeth Whitley,LOVINGSTON,VA,37-3011,Landscaping and Groundskeeping Workers,Landscaping and Groundskeeping Workers,7,9.45,Hour,9.45,Hour
H-400-13030-021665,2/14/13,1/31/13,Certified,H-2B,NJ,2/15/13,12/15/13,"Excell Maintenance Services, Inc.",2250 Route 322,,Woolwich Township,NJ,08062,DANIEL ANNA,MEDIA,PA,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,6,9.4,Hour,9.4,Hour
H-400-13030-661965,2/14/13,1/31/13,Certified,H-2B,NJ,3/15/13,10/1/13,AFP MANAGEMENT CORP.,ONE OCEAN BLOUEVARD,,LONG BRANCH,NJ,07740,VERONICA STRICKLAND-BIRKENSTOCK,DALLAS,TX,35-2014,"Cooks, Restaurant",Cook,18,10.27,Hour,10.27,Hour
H-400-13031-140944,2/14/13,1/31/13,Certified,H-2B,VA,4/1/13,12/1/13,"Terry's Landscaping & Irrigation, Inc.",338 Rip Rap Road,,Hampton,VA,23669,Elizabeth Whitley,LOVINGSTON,VA,37-3011,Landscaping and Groundskeeping Workers,Landscaping and Groundskeeping Workers,8,8.1,Hour,8.1,Hour
H-400-13031-896353,2/14/13,1/31/13,Certified,H-2B,ND,4/1/13,11/30/13,Baranko Bros Inc,3046 Hwy 22,,Dickinson,ND,58602,LESLI DOWNS,SAND SPRINGS,OK,53-3032,Heavy and Tractor-Trailer Truck Drivers,Truck Driver,5,18.94,Hour,18.94,Hour
H-400-13031-331417,2/14/13,1/31/13,Certified,H-2B,MA,5/15/13,10/31/13,JETTIES BEACH INC.,4 BATHING BEACH ROAD,P.O. BOX 3464,NANTUCKET,MA,02554,,,,35-2015,"Cooks, Short Order",COOK,10,12,Hour,12,Hour
H-400-13031-986804,2/14/13,1/31/13,Certified,H-2B,RI,5/15/13,10/31/13,PLEASANT VIEW INN,65 ATLANTIC AVENUE,PO BOX 1965,WESTERLY,RI,02891,,,,37-2012,Maids and Housekeeping Cleaners,HOUSEKEEPER,13,9.77,Hour,9.77,Hour
H-400-13031-227152,2/14/13,1/31/13,Certified,H-2B,NJ,3/15/13,10/1/13,AFP MANAGEMENT CORP.,ONE OCEAN BLOUEVARD,,LONG BRANCH,NJ,07740,VERONICA STRICKLAND-BIRKENSTOCK,DALLAS,TX,35-9011,Dining Room and Cafeteria Attendants and Bartender,Banquet Set-up Staff,8,9.17,Hour,9.17,Hour
H-400-13031-503631,2/14/13,1/31/13,Partial Certified,H-2B,PA,3/1/13,12/1/13,"LAKESIDE CULTURAL CARE, INC.",751 COCKERHAM LANE,n/a,Exton,PA,19341,STEVEN BARSAMIAN,PHILADELPHIA,PA,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,11,9.22,Hour,9.22,Hour
H-400-13031-209666,2/14/13,1/31/13,Certified,H-2B,WY,4/1/13,11/30/13,"Trees, Inc.",P.O. Box 396,4363 Sage Meadow Road,Teton Village,WY,83025,Joel Anderson,Aurora,CO,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborers,8,10,Hour,10,Hour
H-400-13031-163855,2/14/13,1/31/13,Certified,H-2B,ME,5/15/13,11/30/13,WITHAM LIMITED PARTNERSHIP,P.O. BOX 7,7 NEWPORT DRIVE,BAR HARBOR,ME,04609,JANE BISHOP,MASHPEE,MA,37-2012,Maids and Housekeeping Cleaners,HOUSEKEEPERS,40,8.26,Hour,8.26,Hour
H-400-13031-503399,2/14/13,1/31/13,Certified,H-2B,MA,5/1/13,12/15/13,CHATHAM VILLAGE MARKET,12 QUEEN ANNE ROAD,,Chatham,MA,02633,PETYA FEENEY,CHATHAM,MA,35-2021,Food Preparation Workers,DELI CLERKS/FOOD PREPARATION WORKERS,6,9.22,Hour,9.22,Hour
H-400-13031-875902,2/14/13,1/31/13,Partial Certified,H-2B,NJ,3/15/13,10/1/13,AFP MANAGEMENT CORP.,ONE OCEAN BLOUEVARD,,LONG BRANCH,NJ,07740,VERONICA STRICKLAND-BIRKENSTOCK,DALLAS,TX,35-3031,Waiters and Waitresses,Server,17,10.99,Hour,10.99,Hour
H-400-13031-362472,2/14/13,1/31/13,Certified,H-2B,NJ,3/15/13,10/1/13,AFP MANAGEMENT CORP.,ONE OCEAN BLOUEVARD,,LONG BRANCH,NJ,07740,VERONICA STRICKLAND-BIRKENSTOCK,DALLAS,TX,37-2012,Maids and Housekeeping Cleaners,Housecleaner,31,10.48,Hour,10.48,Hour
H-400-13031-465278,2/14/13,1/31/13,Certified,H-2B,MA,5/1/13,10/31/13,"PAMET RESTAURANT GROUP, INC.",17 TRURO CENTER ROAD,P.O. BOX 258,TRURO,MA,02652,JANE BISHOP,MASHPEE,MA,35-2021,Food Preparation Workers,PREP COOK,10,9.22,Hour,9.22,Hour
H-400-13031-339394,2/14/13,1/31/13,Certified,H-2B,MA,4/1/13,10/15/13,"PMJ ENTERPRISES, LLC",110 BREEDS HILL ROAD,SUITE 1,HYANNIS,MA,02601,PETYA FEENEY,CHATHAM,MA,37-2011,"Janitors and Cleaners, Except Maids and",WINDOW CLEANERS,7,9.84,Hour,9.84,Hour
H-400-13031-783689,2/14/13,1/31/13,Certified,H-2B,OH,4/1/13,10/31/13,"Unique Landscaping, LLC",7777 W. Pleasant Valley Rd.,,Parma,OH,44130,Robert Wingfield,Dallas,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,8,8.36,Hour,8.36,Hour
H-400-13031-107349,2/14/13,1/31/13,Certified,H-2B,NY,4/1/13,12/20/13,STASI BROS. ASPHALT CORP,422 MAPLE AVENUE,N/A,WESTBURY,NY,11590,JOHN GISMONDI,WESTBURY,NY,53-7062,"Laborers and Freight, Stock, and Material Movers,",YARD WORKER,3,9,Hour,9,Hour
H-400-13031-456502,2/14/13,1/31/13,Certified,H-2B,GA,2/20/13,11/13/13,PEACHTREE RIDES,2402 MOUNT VERNON RD. STE100,N/A,DUNWOODY,GA,30338-0000,JAMES JUDKINS,RIO HONDO,TX,39-3091,Amusement and Recreation Attendants,Amusement and Recreation Attendant,15,8.04,Hour,8.04,Hour
H-400-13031-696876,2/14/13,1/31/13,Partial Certified,H-2B,ID,4/1/13,7/31/13,"Alpha Services, LLC",1141 N. 3rd St.,,Coeur d'Alene,ID,83814,Stephen Ward,Coeur d'Alene,ID,45-4011,Forest and Conservation Workers,General Forestry Laborer (SCA 08250),117,9.37,Hour,9.37,Hour
H-400-13031-377807,2/14/13,1/31/13,Certified,H-2B,NY,4/1/13,12/20/13,DONATO RUTIGLIANO LANDSCAPING CORP,748 KENSINGTON COURT,,WESTBURY,NY,11590,JOHN GISMONDI,WESTBURY,NY,37-3011,Landscaping and Groundskeeping Workers,LANDSCAPE LABORER,2,9.5,Hour,9.5,Hour
H-400-13031-354097,2/14/13,1/31/13,Certified,H-2B,MA,4/15/13,12/10/13,"TWENTY FOUR BROAD STREET, INC.",24 BROAD STREET,P.O. BOX 1829,NANTUCKET,MA,02554,JANE BISHOP,MASHPEE,MA,37-2012,Maids and Housekeeping Cleaners,HOUSEKEEPERS,3,11.45,Hour,11.45,Hour
H-400-13031-903546,2/14/13,1/31/13,Certified,H-2B,MA,4/15/13,12/10/13,"TWENTY FOUR BROAD STREET, INC.",24 BROAD STREET,P.O. BOX 1829,NANTUCKET,MA,02554,JANE BISHOP,MASHPEE,MA,35-2021,Food Preparation Workers,FOOD PREP WORKERS/DISHWASHERS,4,10.33,Hour,10.33,Hour
H-400-13031-437707,2/14/13,1/31/13,Certified,H-2B,NJ,3/15/13,10/1/13,AFP MANAGEMENT CORP.,ONE OCEAN BLOUEVARD,,LONG BRANCH,NJ,07740,VERONICA STRICKLAND-BIRKENSTOCK,DALLAS,TX,35-9031,"Hosts and Hostesses, Restaurant, Lounge, and",Host Person,7,10.19,Hour,10.19,Hour
H-400-13031-113726,2/14/13,1/31/13,Certified,H-2B,MA,4/15/13,12/10/13,"TWENTY FOUR BROAD STREET, INC.",24 BROAD STREET,,NANTUCKET,MA,02554,JANE BISHOP,MASHPEE,MA,35-2014,"Cooks, Restaurant",COOK,4,11.97,Hour,11.97,Hour
H-400-13031-701169,2/14/13,1/31/13,Certified,H-2B,UT,3/31/13,11/15/13,Moab Lodging Inc.,Mile 14 Highway 128,N/A,Moab,UT,84532,BARBARA MELENDEZ,SALT LAKE CITY,UT,37-2012,Maids and Housekeeping Cleaners,Housekeeper,10,8.82,Hour,8.82,Hour
H-400-13031-003944,2/14/13,1/31/13,Certified,H-2B,OK,3/15/13,11/30/13,TruGreen Landcare - Tulsa,10203 East 51st Street,N/A,Tulsa,OK,74146,Elizabeth Whitley,Lovingston,VA,37-1012,"First-Line Supervisors of Landscaping, Lawn",Landscape Supervisors,6,12.31,Hour,12.31,Hour
H-400-13031-032668,2/14/13,1/31/13,Certified,H-2B,MA,5/15/13,9/30/13,"VALLEY TRANSPORTATION SERVICES OF MASSACHUSETTS, INC.",P.O. BOX 427,,WEST DOVER,VT,05356,JANE BISHOP,MASHPEE,MA,53-3021,"Bus Drivers, Transit and Intercity",DRIVERS,23,12.76,Hour,12.76,Hour
H-400-13031-030501,2/14/13,1/31/13,Certified,H-2B,NJ,3/15/13,10/1/13,AFP MANAGEMENT CORP.,ONE OCEAN BLOUEVARD,,LONG BRANCH,NJ,07740,VERONICA STRICKLAND-BIRKENSTOCK,DALLAS,TX,35-9021,Dishwashers,Steward,9,8.19,Hour,8.19,Hour
H-400-13031-780892,2/14/13,1/31/13,Partial Certified,H-2B,FL,3/1/13,11/30/13,TruGreen Landcare - Orlando,11244 Boggy Creek Rd.,N/A,Orlando,FL,32824,Elizabeth Whitley,Lovingston,VA,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborers,23,8.07,Hour,8.07,Hour
H-400-13031-227156,2/14/13,1/31/13,Partial Certified,H-2B,NJ,3/15/13,10/1/13,AFP MANAGEMENT CORP.,ONE OCEAN BLOUEVARD,,LONG BRANCH,NJ,07740,VERONICA STRICKLAND-BIRKENSTOCK,DALLAS,TX,35-9011,Dining Room and Cafeteria Attendants and Bartender,Bus Person,13,8.14,Hour,8.14,Hour
H-400-13031-989239,2/14/13,1/31/13,Partial Certified,H-2B,FL,3/15/13,11/30/13,TruGreen Landcare - Naples,3800 Prospect Ave.,N/A,Naples,FL,34104,Elizabeth Whitley,Lovingston,VA,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborers,32,8.7,Hour,8.7,Hour
H-400-13031-982738,2/14/13,1/31/13,Partial Certified,H-2B,PA,3/15/13,11/30/13,TruGreen Landcare - Allentown,764 Roble Road,"Mailing: 200 South Avenue Suite 10, Middlesex, NJ 08846",Allentown,PA,18109,Elizabeth Whitley,Lovingston,VA,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborers,12,9.42,Hour,9.42,Hour
H-400-13031-676807,2/14/13,1/31/13,Partial Certified,H-2B,NJ,3/15/13,11/30/13,TruGreen Landcare - Delaware,718 Grantham Lane,N/A,New Castle,DE,19720,Elizabeth Whitley,Lovingston,VA,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborers,13,9.64,Hour,9.64,Hour
